,Step,Value,Wall time
0,1000,4.506983280181885,1542548923.2674255
1,2000,2.606346368789673,1542549150.3775754
2,3000,1.279910922050476,1542549390.471511
3,4000,1.0751105546951294,1542549631.7093716
4,5000,1.02940833568573,1542549859.9112213
5,6000,1.014512300491333,1542550093.6118162
6,7000,1.0124828815460205,1542550335.4965444
7,8000,1.0070091485977173,1542550569.1110103
8,9000,1.0041476488113403,1542550793.0075934
9,10000,1.004445195198059,1542551039.9317539
10,11000,1.0048201084136963,1542551281.5895727
11,12000,1.0057986974716187,1542551511.7977448
12,13000,1.0042682886123657,1542551742.663909
13,14000,1.0038529634475708,1542552004.4586577
14,15000,1.002659797668457,1542552268.8051767
15,16000,1.0020499229431152,1542552546.0143077
16,17000,1.0014244318008423,1542552810.5991204
17,18000,1.005054235458374,1542553090.0142086
18,19000,1.0034065246582031,1542553367.1898665
19,20000,1.002310037612915,1542553649.896419
20,21000,1.0008379220962524,1542553926.1889606
21,22000,1.001841425895691,1542554200.339395
22,23000,1.0018248558044434,1542554465.5857546
23,24000,1.001240849494934,1542554729.4422178
24,25000,1.0021395683288574,1542555003.375204
25,26000,1.001652717590332,1542555260.071555
26,27000,1.0041977167129517,1542555521.791111
27,28000,1.0011261701583862,1542555783.6090136
28,29000,1.0007405281066895,1542556047.6668115
29,30000,1.0034345388412476,1542556324.1171432
30,31000,1.000783920288086,1542556595.067811
31,32000,1.001176118850708,1542556867.707117
32,33000,1.0007425546646118,1542557123.4773233
33,34000,1.0005364418029785,1542557386.8147082
34,35000,1.0011029243469238,1542557648.4286761
35,36000,1.0006167888641357,1542557912.43773
36,37000,1.0004968643188477,1542558174.8227067
37,38000,1.0016021728515625,1542558432.6254647
38,39000,1.0006709098815918,1542558705.6574879
39,40000,1.0005005598068237,1542558970.4566288
40,41000,1.0004687309265137,1542559246.523645
41,42000,1.000398874282837,1542559527.5274034
42,43000,1.0010015964508057,1542559803.8143218
43,44000,1.0008903741836548,1542560080.3018396
44,45000,1.000546932220459,1542560345.0441086
45,46000,1.0005111694335938,1542560615.6004825
46,47000,1.0006322860717773,1542560878.218244
47,48000,1.000756025314331,1542561142.1398742
48,49000,1.0008126497268677,1542561432.042522
49,50000,1.0004175901412964,1542561694.574194
