,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,237.0,0%,1.0,6.307,10.071,1.25988e-05,9.949,50.0,0.0,988.52,51.0,0.9,57.0,3211.0,2993.0
1,237.0,0%,2.0,4.848,6.704,2.50975e-05,6.106,100.0,0.0,68.90,102.0,0.9,114.0,3211.0,2996.0
2,237.0,0%,3.0,4.330,5.231,3.75963e-05,4.358,150.0,0.0,20.50,153.0,0.9,172.0,3211.0,2976.0
3,237.0,0%,4.0,4.019,4.662,5.0095e-05,3.676,200.0,0.0,12.78,205.0,0.9,229.0,3211.0,3011.0
4,237.0,0%,5.0,3.668,4.242,6.25938e-05,3.181,250.0,0.0,9.07,256.0,0.9,286.0,3211.0,3024.0
5,237.0,0%,6.0,3.763,3.989,7.50925e-05,2.876,300.0,0.0,7.34,307.0,0.9,344.0,3211.0,3005.0
6,237.0,0%,7.0,3.748,3.810,8.75912e-05,2.668,350.0,0.0,6.36,358.0,0.9,401.0,3211.0,3000.0
7,237.0,0%,8.0,3.389,3.588,0.00010009,2.402,400.0,0.0,5.29,410.0,0.9,458.0,3211.0,2996.0
8,237.0,0%,9.0,2.853,3.490,0.000112589,2.284,450.0,0.0,4.87,461.0,0.9,515.0,3211.0,2987.0
9,237.0,0%,10.0,2.356,3.272,0.000125087,2.036,500.0,0.0,4.10,512.0,0.9,573.0,3211.0,2989.0
10,237.0,0%,11.0,3.273,3.456,0.000137586,2.243,550.0,0.0,4.74,563.0,0.9,630.0,3211.0,2983.0
11,237.0,0%,12.0,3.050,3.475,0.000150085,2.260,600.0,0.0,4.79,615.0,0.9,687.0,3211.0,3006.0
12,237.0,0%,13.0,2.722,3.435,0.000162584,2.220,650.0,0.0,4.66,666.0,0.9,744.0,3211.0,3001.0
13,237.0,0%,14.0,2.567,3.310,0.000175082,2.066,700.0,0.0,4.19,717.0,0.9,802.0,3211.0,2999.0
14,237.0,0%,15.0,2.291,3.209,0.000187581,1.961,750.0,0.0,3.89,768.0,0.9,859.0,3211.0,3013.0
15,237.0,0%,16.0,2.348,3.388,0.00020008,2.160,800.0,0.0,4.47,820.0,0.9,916.0,3211.0,2995.0
16,237.0,0%,17.0,1.958,3.170,0.000212579,1.927,850.0,0.0,3.80,871.0,0.9,974.0,3211.0,3007.0
17,237.0,0%,18.0,1.835,3.092,0.000225077,1.825,900.0,0.0,3.54,922.0,0.9,1031.0,3211.0,2980.0
18,237.0,0%,19.0,1.832,3.025,0.000237576,1.758,950.0,0.0,3.38,973.0,0.9,1088.0,3211.0,2990.0
19,237.0,0%,20.0,2.074,3.072,0.000250075,1.790,1000.0,0.0,3.46,1025.0,0.9,1146.0,3211.0,2983.0
20,237.0,0%,21.0,1.198,2.802,0.000262574,1.488,1050.0,0.0,2.80,1076.0,0.9,1203.0,3211.0,2994.0
21,237.0,0%,22.0,2.263,2.920,0.000275072,1.623,1100.0,0.0,3.08,1127.0,0.9,1260.0,3211.0,2977.0
22,237.0,0%,23.0,1.800,2.815,0.000287571,1.494,1150.0,0.0,2.82,1178.0,0.9,1318.0,3211.0,3027.0
23,237.0,0%,24.0,1.047,2.612,0.00030007,1.276,1200.0,0.0,2.42,1230.0,0.9,1375.0,3211.0,2985.0
24,237.0,0%,25.0,1.493,2.760,0.000312569,1.463,1250.0,0.0,2.76,1281.0,0.9,1432.0,3211.0,2972.0
25,237.0,0%,26.0,1.070,2.577,0.000325067,1.230,1300.0,0.0,2.35,1332.0,0.9,1489.0,3211.0,2980.0
