,Step,Value,Wall time
0,1000,4.035916805267334,1542711820.7399879
1,2000,1.3476649522781372,1542713801.4299612
2,3000,1.1380060911178589,1542716001.9389682
3,4000,1.0750426054000854,1542718173.1204698
4,5000,1.0331220626831055,1542720361.3441205
5,6000,1.0284992456436157,1542722616.822346
6,7000,1.021695613861084,1542724802.8904727
7,8000,1.0112396478652954,1542726990.657522
8,9000,1.0044406652450562,1542729170.3152936
9,10000,1.0021058320999146,1542731355.885575
10,11000,1.001942753791809,1542733610.71295
11,12000,1.0016841888427734,1542735793.7424173
12,13000,1.001713514328003,1542737981.6603835
13,14000,1.0016196966171265,1542740171.0565681
14,15000,1.0015171766281128,1542742355.2969263
15,16000,1.001508355140686,1542744609.2131855
16,17000,1.001443862915039,1542746793.508524
17,18000,1.0014114379882812,1542748981.2693741
18,19000,1.001327633857727,1542751164.918376
19,20000,1.0012996196746826,1542753279.0645256
20,21000,1.001296043395996,1542755539.2039335
21,22000,1.0012779235839844,1542757722.5669906
22,23000,1.0012309551239014,1542759918.4855874
23,24000,1.001267671585083,1542762115.281091
24,25000,1.0013182163238525,1542764297.8845494
25,26000,1.001227855682373,1542766550.9143455
26,27000,1.0012836456298828,1542768733.5865018
27,28000,1.0012961626052856,1542770915.4349694
28,29000,1.0012335777282715,1542773097.7746253
29,30000,1.0012242794036865,1542775280.1462743
