,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,243.0,100%,1.0,3.052,6.993,0.5,6.254,60.0,0.0,76.34,85.0,0.7,90.0,3299.0,2249.0
1,243.0,100%,2.0,2.042,4.462,0.5,3.32,120.0,0.0,9.99,171.0,0.7,179.0,3299.0,2250.0
2,243.0,100%,3.0,1.367,3.289,0.5,1.952,180.0,0.0,3.87,257.0,0.7,268.0,3299.0,2246.0
3,243.0,100%,4.0,0.91,2.753,0.5,1.342,240.0,0.0,2.53,342.0,0.7,357.0,3299.0,2226.0
4,243.0,100%,5.0,0.656,2.544,0.5,1.122,300.0,0.0,2.18,428.0,0.7,446.0,3299.0,2239.0
5,243.0,100%,6.0,0.509,2.335,0.5,0.902,360.0,0.0,1.87,514.0,0.7,535.0,3299.0,2228.0
6,243.0,100%,7.0,0.435,2.128,0.5,0.657,420.0,0.0,1.58,599.0,0.7,624.0,3299.0,2241.0
7,243.0,100%,8.0,0.403,2.026,0.5,0.549,480.0,0.0,1.46,685.0,0.7,713.0,3299.0,2241.0
8,243.0,100%,9.0,0.355,1.963,0.5,0.48,540.0,0.0,1.4,770.0,0.7,801.0,3299.0,2228.0
9,243.0,100%,10.0,0.33,1.912,0.5,0.437,600.0,0.0,1.35,856.0,0.7,890.0,3299.0,2230.0
10,243.0,97%,11.0,0.26,1.863,0.5,0.407,660.0,0.0,1.33,941.0,0.7,979.0,3299.0,2240.0
11,243.0,93%,12.0,0.251,1.814,0.5,0.34,720.0,0.0,1.27,1027.0,0.7,1068.0,3299.0,2247.0
12,243.0,93%,13.0,0.193,1.758,0.5,0.299,780.0,0.0,1.23,1113.0,0.7,1157.0,3299.0,2227.0
13,243.0,75%,14.0,0.158,1.726,0.5,0.271,840.0,0.0,1.21,1198.0,0.7,1246.0,3299.0,2245.0
14,243.0,62%,15.0,0.133,1.701,0.5,0.249,900.0,0.0,1.19,1284.0,0.7,1334.0,3299.0,2248.0
15,243.0,60%,16.0,0.144,1.695,0.5,0.236,960.0,0.0,1.18,1369.0,0.7,1423.0,3299.0,2244.0
16,243.0,73%,17.0,0.18,1.704,0.5,0.239,1020.0,0.0,1.18,1455.0,0.7,1512.0,3299.0,2249.0
17,243.0,82%,18.0,0.172,1.689,0.5,0.224,1080.0,0.0,1.17,1540.0,0.7,1601.0,3299.0,2233.0
18,243.0,58%,19.0,0.116,1.661,0.5,0.203,1140.0,0.0,1.15,1626.0,0.7,1690.0,3299.0,2250.0
19,243.0,38%,20.0,0.096,1.643,0.5,0.192,1200.0,0.0,1.14,1711.0,0.7,1778.0,3299.0,2242.0
20,243.0,18%,21.0,0.082,1.635,0.5,0.185,1260.0,0.0,1.14,1797.0,0.7,1867.0,3299.0,2236.0
21,243.0,25%,22.0,0.082,1.634,0.5,0.184,1320.0,0.0,1.14,1882.0,0.7,1956.0,3299.0,2237.0
22,243.0,17%,23.0,0.081,1.628,0.5,0.178,1380.0,0.0,1.13,1967.0,0.7,2044.0,3299.0,2254.0
23,243.0,30%,24.0,0.087,1.633,0.5,0.183,1440.0,0.0,1.14,2053.0,0.7,2133.0,3299.0,2232.0
24,243.0,15%,25.0,0.075,1.627,0.5,0.18,1500.0,0.0,1.13,2138.0,0.7,2222.0,3299.0,2256.0
25,243.0,8%,26.0,0.06,1.616,0.5,0.173,1560.0,0.0,1.13,2223.0,0.7,2310.0,3299.0,2239.0
26,243.0,13%,27.0,0.066,1.62,0.5,0.176,1620.0,0.0,1.13,2309.0,0.7,2399.0,3299.0,2238.0
27,243.0,3%,28.0,0.052,1.611,0.5,0.17,1680.0,0.0,1.13,2394.0,0.7,2488.0,3299.0,2236.0
28,243.0,2%,29.0,0.048,1.609,0.5,0.169,1740.0,0.0,1.12,2479.0,0.7,2576.0,3299.0,2236.0
29,243.0,7%,30.0,0.056,1.613,0.5,0.172,1800.0,0.0,1.13,2565.0,0.7,2665.0,3299.0,2254.0
30,243.0,12%,31.0,0.059,1.612,0.5,0.174,1860.0,0.0,1.13,2650.0,0.7,2753.0,3299.0,2237.0
31,243.0,5%,32.0,0.052,1.609,0.5,0.171,1920.0,0.0,1.13,2736.0,0.7,2842.0,3299.0,2247.0
32,243.0,0%,33.0,0.039,1.602,0.5,0.166,1980.0,0.0,1.12,2821.0,0.7,2931.0,3299.0,2235.0
33,243.0,0%,34.0,0.037,1.599,0.5,0.165,2040.0,0.0,1.12,2906.0,0.7,3019.0,3299.0,2250.0
34,243.0,5%,35.0,0.037,1.6,0.5,0.165,2100.0,0.0,1.12,2992.0,0.7,3108.0,3299.0,2252.0
35,243.0,2%,36.0,0.032,1.597,0.5,0.164,2160.0,0.0,1.12,3077.0,0.7,3196.0,3299.0,2243.0
36,243.0,3%,37.0,0.037,1.597,0.5,0.164,2220.0,0.0,1.12,3162.0,0.7,3285.0,3299.0,2235.0
37,243.0,3%,38.0,0.036,1.596,0.5,0.163,2280.0,0.0,1.12,3247.0,0.7,3374.0,3299.0,2237.0
38,243.0,0%,39.0,0.025,1.594,0.5,0.162,2340.0,0.0,1.12,3333.0,0.7,3462.0,3299.0,2244.0
39,243.0,0%,40.0,0.023,1.593,0.5,0.162,2400.0,0.0,1.12,3418.0,0.7,3551.0,3299.0,2237.0
40,243.0,0%,41.0,0.024,1.592,0.5,0.162,2460.0,0.0,1.12,3504.0,0.7,3640.0,3299.0,2248.0
41,243.0,0%,42.0,0.022,1.591,0.5,0.162,2520.0,0.0,1.12,3589.0,0.7,3728.0,3299.0,2241.0
42,243.0,0%,43.0,0.023,1.591,0.5,0.161,2580.0,0.0,1.12,3674.0,0.7,3817.0,3299.0,2249.0
43,243.0,0%,44.0,0.023,1.591,0.5,0.161,2640.0,0.0,1.12,3759.0,0.7,3905.0,3299.0,2245.0
44,243.0,0%,45.0,0.025,1.591,0.5,0.162,2700.0,0.0,1.12,3845.0,0.7,3994.0,3299.0,2248.0
45,243.0,0%,46.0,0.026,1.591,0.5,0.162,2760.0,0.0,1.12,3930.0,0.7,4082.0,3299.0,2254.0
46,243.0,0%,47.0,0.028,1.592,0.5,0.162,2820.0,0.0,1.12,4015.0,0.7,4171.0,3299.0,2244.0
47,243.0,0%,48.0,0.027,1.592,0.5,0.162,2880.0,0.0,1.12,4101.0,0.7,4260.0,3299.0,2236.0
48,243.0,0%,49.0,0.026,1.591,0.5,0.162,2940.0,0.0,1.12,4186.0,0.7,4348.0,3299.0,2247.0
49,243.0,0%,50.0,0.024,1.59,0.5,0.161,3000.0,0.0,1.12,4271.0,0.7,4437.0,3299.0,2256.0
50,243.0,0%,51.0,0.019,1.588,0.05,0.161,3060.0,0.0,1.12,4357.0,0.6,4536.0,3299.0,2249.0
51,243.0,0%,52.0,0.014,1.587,0.005,0.16,3120.0,0.0,1.12,4442.0,0.7,4625.0,3299.0,2236.0
52,243.0,0%,53.0,0.014,1.587,0.0005,0.16,3180.0,0.0,1.12,4527.0,0.7,4714.0,3299.0,2241.0
53,243.0,0%,54.0,0.013,1.587,5e-05,0.16,3240.0,0.0,1.12,4613.0,0.7,4802.0,3299.0,2235.0
