,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,243.0,0%,1.0,9.278,10.172,7.5985e-06,9.992,60.0,0.0,1018.36,34.0,1.6,38.0,3299.0,5442.0
1,243.0,0%,2.0,4.95,7.505,1.5097e-05,6.981,120.0,0.0,126.35,67.0,1.6,75.0,3299.0,5465.0
2,243.0,0%,3.0,4.656,6.39,2.25955e-05,5.707,180.0,0.0,52.23,101.0,1.6,111.0,3299.0,5449.0
3,243.0,0%,4.0,4.235,5.091,3.0094e-05,4.211,240.0,0.0,18.52,134.0,1.6,148.0,3299.0,5401.0
4,243.0,0%,5.0,5.335,4.285,3.75925e-05,3.256,300.0,0.0,9.55,168.0,1.6,185.0,3299.0,5439.0
5,243.0,0%,6.0,3.731,3.604,4.5091e-05,2.447,360.0,0.0,5.45,201.0,1.6,221.0,3299.0,5399.0
6,243.0,0%,7.0,3.667,3.215,5.25895e-05,1.978,420.0,0.0,3.94,235.0,1.6,258.0,3299.0,5443.0
7,243.0,0%,8.0,3.259,2.997,6.0088e-05,1.705,480.0,0.0,3.26,269.0,1.6,295.0,3299.0,5441.0
8,243.0,0%,9.0,2.485,2.823,6.75865e-05,1.494,540.0,0.0,2.82,302.0,1.6,331.0,3299.0,5403.0
9,243.0,0%,10.0,1.988,2.696,7.5085e-05,1.345,600.0,0.0,2.54,336.0,1.6,368.0,3299.0,5406.0
10,243.0,0%,11.0,1.87,2.627,8.25835e-05,1.265,660.0,0.0,2.4,369.0,1.6,404.0,3299.0,5433.0
11,243.0,0%,12.0,2.251,2.636,9.0082e-05,1.265,720.0,0.0,2.4,403.0,1.6,441.0,3299.0,5456.0
12,243.0,0%,13.0,1.283,2.52,9.75805e-05,1.15,780.0,0.0,2.22,436.0,1.6,478.0,3299.0,5407.0
13,243.0,0%,14.0,1.087,2.48,0.000105079,1.103,840.0,0.0,2.15,470.0,1.6,514.0,3299.0,5447.0
14,243.0,0%,15.0,0.861,2.44,0.000112578,1.063,900.0,0.0,2.09,504.0,1.6,551.0,3299.0,5449.0
15,243.0,0%,16.0,0.944,2.442,0.000120076,1.069,960.0,0.0,2.1,537.0,1.6,587.0,3299.0,5443.0
16,243.0,0%,17.0,1.141,2.462,0.000127575,1.091,1020.0,0.0,2.13,571.0,1.6,624.0,3299.0,5446.0
17,243.0,0%,18.0,1.294,2.473,0.000135073,1.103,1080.0,0.0,2.15,604.0,1.6,661.0,3299.0,5417.0
18,243.0,0%,19.0,0.642,2.389,0.000142572,1.018,1140.0,0.0,2.02,638.0,1.6,697.0,3299.0,5457.0
19,243.0,0%,20.0,0.961,2.42,0.00015007,1.055,1200.0,0.0,2.08,671.0,1.6,734.0,3299.0,5435.0
20,243.0,0%,21.0,0.669,2.377,0.000157569,1.007,1260.0,0.0,2.01,705.0,1.6,770.0,3299.0,5411.0
21,243.0,0%,22.0,0.789,2.356,0.000165067,0.99,1320.0,0.0,1.99,739.0,1.6,807.0,3299.0,5416.0
22,243.0,0%,23.0,0.666,2.342,0.000172566,0.97,1380.0,0.0,1.96,772.0,1.6,844.0,3299.0,5450.0
23,243.0,0%,24.0,0.824,2.323,0.000180064,0.953,1440.0,0.0,1.94,806.0,1.6,880.0,3299.0,5407.0
24,243.0,0%,25.0,0.655,2.268,0.000187563,0.887,1500.0,0.0,1.85,839.0,1.6,917.0,3299.0,5464.0
25,243.0,0%,26.0,0.832,2.231,0.000195061,0.851,1560.0,0.0,1.8,873.0,1.6,953.0,3299.0,5418.0
26,243.0,0%,27.0,1.072,2.272,0.00020256,0.888,1620.0,0.0,1.85,906.0,1.6,990.0,3299.0,5414.0
27,243.0,0%,28.0,0.834,2.216,0.000210058,0.823,1680.0,0.0,1.77,940.0,1.6,1027.0,3299.0,5403.0
28,243.0,0%,29.0,0.798,2.139,0.000217557,0.742,1740.0,0.0,1.67,974.0,1.6,1063.0,3299.0,5406.0
29,243.0,0%,30.0,0.91,2.157,0.000225055,0.762,1800.0,0.0,1.7,1007.0,1.6,1100.0,3299.0,5454.0
30,243.0,0%,31.0,0.685,2.085,0.000232554,0.68,1860.0,0.0,1.6,1041.0,1.6,1137.0,3299.0,5417.0
31,243.0,0%,32.0,0.542,2.01,0.000240052,0.598,1920.0,0.0,1.51,1074.0,1.6,1173.0,3299.0,5442.0
32,243.0,0%,33.0,1.144,2.059,0.000247551,0.651,1980.0,0.0,1.57,1108.0,1.6,1210.0,3299.0,5408.0
33,243.0,0%,34.0,0.78,2.028,0.000255049,0.612,2040.0,0.0,1.53,1141.0,1.6,1246.0,3299.0,5445.0
