,Step,Value,Wall time
0,1000,223.84727478027344,1542805650.7538962
1,2000,315.4268493652344,1542808326.9691448
2,3000,127.3486099243164,1542810997.9801428
3,4000,93.78408813476562,1542813671.6792696
4,5000,57.60747528076172,1542816342.974658
5,6000,39.995025634765625,1542822648.6056066
6,7000,14.757080078125,1542825321.2664828
7,8000,5.2352294921875,1542827999.9217064
8,9000,3.8401265144348145,1542830675.1097133
14,10000,3.411163330078125,1542838093.076922
15,11000,3.114234447479248,1542840763.1102707
16,12000,3.677983045578003,1542843434.0783498
17,13000,2.9151511192321777,1542846105.5560222
18,14000,2.8309803009033203,1542848771.8742013
19,15000,2.5985703468322754,1542855936.2826414
20,16000,2.529874801635742,1542858605.3602095
21,17000,2.3834311962127686,1542861277.6831155
22,18000,2.157750129699707,1542877847.20092
23,19000,2.139427900314331,1542880527.2007625
24,20000,2.18924617767334,1542883201.2571602
25,21000,2.195439338684082,1542885878.6831727
26,22000,2.2184557914733887,1542888550.6572409
27,23000,1.9053083658218384,1542895788.554517
28,24000,1.9240878820419312,1542898485.9220445
29,25000,1.9882217645645142,1542901186.8065915
9,26000,1.8711013793945312,1543010392.2445776
10,27000,1.946488618850708,1543012787.975612
11,28000,2.1840193271636963,1543015116.5104384
12,29000,2.1190102100372314,1543017441.7627552
13,30000,2.1327030658721924,1543019804.1296036
