,Step,Value,Wall time
0,1000,8.95890998840332,1541668838.3193302
1,2000,6.997612476348877,1541669859.8555052
2,3000,5.214351654052734,1541670881.2193146
3,4000,4.123665809631348,1541671903.7830813
4,5000,3.71128249168396,1541672925.372882
5,6000,3.4718780517578125,1541677271.830485
6,7000,3.3302505016326904,1541678292.2419508
7,8000,3.221264362335205,1541679314.3357506
8,9000,3.1064400672912598,1541680337.9613721
9,10000,3.046100616455078,1541681358.826807
10,11000,3.0023105144500732,1541684079.6020525
11,12000,2.8873422145843506,1541686786.8262317
12,13000,2.8880774974823,1541687807.5909111
13,14000,2.8172504901885986,1541688829.1971385
14,15000,2.7512240409851074,1541689852.9799507
15,16000,2.737520456314087,1541692582.8113086
16,17000,2.66582989692688,1541695287.959233
17,18000,2.631751537322998,1541696308.8760724
18,19000,2.5915367603302,1541697331.3716576
19,20000,2.6242835521698,1541698354.5787835
20,21000,2.515467882156372,1541701064.623662
21,22000,2.5127949714660645,1541702092.3688035
22,23000,2.4908862113952637,1541704789.5176542
23,24000,2.4397013187408447,1541705818.7878106
24,25000,2.4092860221862793,1541706844.0015562
25,26000,2.4002630710601807,1541709529.6947167
26,27000,2.3824265003204346,1541710553.6885912
27,28000,2.3543381690979004,1541713238.2800987
28,29000,2.328368663787842,1541714264.6836429
29,30000,2.312791585922241,1541715289.6160097
30,31000,2.2784390449523926,1541717992.995127
31,32000,2.264974355697632,1541719019.3759794
32,33000,2.266378402709961,1541720043.3681428
33,34000,2.2572240829467773,1541722732.8819213
34,35000,2.239182233810425,1541723757.4432025
35,36000,2.2162587642669678,1541726455.6051292
36,37000,2.21246600151062,1541727479.2746875
37,38000,2.1996259689331055,1541728501.5063803
38,39000,2.1777126789093018,1541729524.0891297
39,40000,2.1525912284851074,1541732205.047894
40,41000,2.145122766494751,1541734892.5256124
41,42000,2.1360979080200195,1541735915.7234986
42,43000,2.1229088306427,1541736943.0266066
43,44000,2.11150860786438,1541737965.585592
44,45000,2.0912864208221436,1541740646.3559914
45,46000,2.0832040309906006,1541743341.3154764
46,47000,2.0770280361175537,1541744364.155002
47,48000,2.067960500717163,1541745388.6336675
48,49000,2.0635786056518555,1541746410.4900653
49,50000,2.050363540649414,1541747433.4754176
