,bsz,clip,epoch,gnorm,loss,loss_scale,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
15,331.0,0%,1.0,2.493,6.184,16.0,0.000269921,4.563,2159.0,0.0,23.64,464.0,3.6,606.0,4572.0,16281.0
16,331.0,0%,2.0,1.236,4.548,4.0,0.000481181,2.712,4319.0,0.0,6.55,928.0,3.3,1265.0,4572.0,17097.0
17,331.0,0%,3.0,1.562,4.109,0.5,0.000392898,2.227,6478.0,0.0,4.68,1391.0,3.3,1917.0,4572.0,17123.0
18,331.0,1%,4.0,1.438,3.884,0.5,0.000340207,1.977,8640.0,0.0,3.94,1853.0,3.3,2569.0,4573.0,17156.0
19,331.0,0%,5.0,1.299,3.773,0.25,0.000304276,1.854,10801.0,0.0,3.61,2315.0,3.3,3221.0,4573.0,17175.0
20,331.0,0%,6.0,1.271,3.711,0.125,0.000277756,1.779,12962.0,0.0,3.43,2776.0,3.3,3872.0,4572.0,17171.0
21,331.0,1%,7.0,1.611,3.693,0.125,0.000257138,1.753,15124.0,0.0,3.37,3237.0,3.3,4523.0,4573.0,17197.0
22,331.0,0%,8.0,1.484,3.76,0.062,0.000240528,1.755,17285.0,0.0,3.37,3698.0,3.3,5174.0,4573.0,17196.0
23,331.0,0%,9.0,1.874,3.828,0.062,0.000226764,1.714,19447.0,0.0,3.28,4159.0,3.3,5824.0,4573.0,17212.0
24,331.0,0%,10.0,2.074,3.957,0.062,0.000215121,1.708,21609.0,0.0,3.27,4618.0,3.3,6474.0,4573.0,17228.0
25,331.0,0%,11.0,2.533,3.858,0.062,0.000205105,1.597,23771.0,0.0,3.03,5078.0,3.2,7158.0,4573.0,17245.0
26,331.0,0%,12.0,2.496,3.829,0.062,0.000196369,1.55,25933.0,0.0,2.93,5538.0,3.3,7807.0,4573.0,17249.0
27,331.0,0%,13.0,2.784,3.824,0.062,0.000188662,1.524,28095.0,0.0,2.88,5997.0,3.3,8456.0,4573.0,17245.0
28,331.0,0%,14.0,3.602,3.828,0.062,0.000181797,1.509,30257.0,0.0,2.85,6457.0,3.3,9105.0,4573.0,17247.0
29,331.0,0%,15.0,3.513,4.038,0.125,0.000175631,1.649,32419.0,0.0,3.14,6917.0,3.3,9755.0,4573.0,17239.0
30,331.0,0%,16.0,1.74,3.933,0.125,0.000170052,1.735,34581.0,0.0,3.33,7378.0,3.3,10405.0,4573.0,17202.0
31,331.0,3%,17.0,4.101,4.061,0.062,0.000164975,1.982,36742.0,0.0,3.95,7838.0,3.3,11055.0,4573.0,17204.0
32,331.0,1%,18.0,5.876,3.948,0.062,0.000160326,1.796,38904.0,0.0,3.47,8298.0,3.3,11704.0,4573.0,17249.0
33,331.0,1%,19.0,5.517,3.834,0.062,0.000156048,1.663,41066.0,0.0,3.17,8757.0,3.3,12354.0,4573.0,17249.0
34,331.0,0%,20.0,6.244,3.855,0.062,0.000152096,1.634,43228.0,0.0,3.1,9217.0,3.3,13002.0,4573.0,17255.0
35,331.0,0%,21.0,6.417,3.853,0.062,0.000148429,1.608,45390.0,0.0,3.05,9676.0,3.2,13672.0,4573.0,17259.0
36,331.0,0%,22.0,6.38,3.839,0.062,0.000145016,1.582,47552.0,0.0,2.99,10135.0,3.3,14321.0,4573.0,17252.0
37,331.0,1%,23.0,6.593,3.833,0.062,0.000141828,1.564,49714.0,0.0,2.96,10595.0,3.3,14970.0,4573.0,17258.0
38,331.0,0%,24.0,6.748,3.829,0.062,0.000138841,1.55,51876.0,0.0,2.93,11054.0,3.3,15618.0,4573.0,17254.0
39,331.0,1%,25.0,4.652,3.948,0.125,0.000136035,1.689,54038.0,0.0,3.22,11515.0,3.3,16269.0,4573.0,17214.0
40,331.0,0%,26.0,2.691,3.52,0.125,0.000133393,1.467,56200.0,0.0,2.77,11975.0,3.3,16919.0,4573.0,17205.0
41,331.0,0%,27.0,3.454,3.445,0.125,0.000130899,1.402,58362.0,0.0,2.64,12436.0,3.3,17569.0,4573.0,17216.0
42,331.0,0%,28.0,3.922,3.435,0.125,0.000128539,1.39,60524.0,0.0,2.62,12896.0,3.3,18219.0,4573.0,17217.0
43,331.0,0%,29.0,3.997,3.397,0.125,0.000126303,1.351,62686.0,0.0,2.55,13357.0,3.3,18870.0,4573.0,17216.0
44,331.0,0%,30.0,4.098,3.371,0.125,0.00012418,1.322,64848.0,0.0,2.5,13818.0,3.3,19520.0,4573.0,17221.0
45,331.0,0%,31.0,3.898,3.364,0.125,0.00012216,1.31,67010.0,0.0,2.48,14278.0,3.2,20200.0,4573.0,17220.0
46,331.0,0%,32.0,3.647,3.348,0.25,0.000120236,1.296,69172.0,0.0,2.46,14739.0,3.3,20850.0,4573.0,17223.0
47,331.0,0%,33.0,2.328,3.332,0.25,0.0001184,1.298,71334.0,0.0,2.46,15199.0,3.3,21500.0,4573.0,17219.0
48,331.0,0%,34.0,2.454,3.317,0.25,0.000116646,1.286,73496.0,0.0,2.44,15660.0,3.3,22150.0,4573.0,17217.0
49,331.0,0%,35.0,2.531,3.31,0.25,0.000114967,1.276,75658.0,0.0,2.42,16121.0,3.3,22800.0,4573.0,17220.0
50,331.0,0%,36.0,2.623,3.303,0.25,0.000113359,1.267,77820.0,0.0,2.41,16581.0,3.3,23450.0,4573.0,17220.0
51,331.0,0%,37.0,2.818,3.297,0.25,0.000111816,1.256,79982.0,0.0,2.39,17042.0,3.3,24100.0,4573.0,17216.0
