,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,333.0,100%,1.0,4.984,10.487,0.5,10.061,12.0,0.0,1068.23,6.0,1.5,8.0,5048.0,8801.0
1,333.0,100%,2.0,3.212,7.683,0.5,6.849,24.0,0.0,115.26,12.0,1.6,16.0,5048.0,8780.0
2,333.0,100%,3.0,1.796,6.59,0.5,5.669,36.0,0.0,50.89,18.0,1.6,23.0,5048.0,8735.0
3,333.0,100%,4.0,2.002,6.132,0.5,5.16,48.0,0.0,35.76,24.0,1.6,31.0,5048.0,8783.0
4,333.0,100%,5.0,1.411,5.624,0.5,4.564,60.0,0.0,23.66,30.0,1.6,39.0,5048.0,8763.0
5,333.0,100%,6.0,1.497,5.264,0.5,4.151,72.0,0.0,17.77,37.0,1.6,46.0,5048.0,8773.0
6,333.0,100%,7.0,0.892,4.871,0.5,3.689,84.0,0.0,12.9,43.0,1.6,54.0,5048.0,8790.0
7,333.0,100%,8.0,0.805,4.626,0.5,3.394,96.0,0.0,10.51,49.0,1.6,61.0,5048.0,8769.0
8,333.0,100%,9.0,0.638,4.394,0.5,3.143,108.0,0.0,8.83,55.0,1.6,69.0,5048.0,8834.0
9,333.0,100%,10.0,0.556,4.223,0.5,2.95,120.0,0.0,7.73,61.0,1.6,76.0,5048.0,8797.0
10,333.0,100%,11.0,0.458,4.088,0.5,2.808,132.0,0.0,7.0,67.0,1.6,84.0,5048.0,8777.0
11,333.0,100%,12.0,0.443,3.987,0.5,2.687,144.0,0.0,6.44,73.0,1.6,92.0,5048.0,8770.0
12,333.0,100%,13.0,0.355,3.888,0.5,2.576,156.0,0.0,5.96,79.0,1.6,99.0,5048.0,8749.0
13,333.0,100%,14.0,0.386,3.821,0.5,2.498,168.0,0.0,5.65,85.0,1.6,107.0,5048.0,8911.0
14,333.0,100%,15.0,0.338,3.747,0.5,2.417,180.0,0.0,5.34,91.0,1.6,114.0,5048.0,8780.0
15,333.0,100%,16.0,0.323,3.674,0.5,2.329,192.0,0.0,5.02,98.0,1.6,122.0,5048.0,8850.0
16,333.0,100%,17.0,0.318,3.605,0.5,2.243,204.0,0.0,4.73,104.0,1.6,129.0,5048.0,8776.0
17,333.0,100%,18.0,0.322,3.535,0.5,2.166,216.0,0.0,4.49,110.0,1.6,137.0,5048.0,8777.0
18,333.0,100%,19.0,0.298,3.462,0.5,2.077,228.0,0.0,4.22,116.0,1.6,145.0,5048.0,8776.0
19,333.0,100%,20.0,0.29,3.381,0.5,1.982,240.0,0.0,3.95,122.0,1.6,152.0,5048.0,8768.0
20,333.0,100%,21.0,0.285,3.297,0.5,1.873,252.0,0.0,3.66,128.0,1.6,160.0,5048.0,8847.0
21,333.0,100%,22.0,0.294,3.202,0.5,1.766,264.0,0.0,3.4,134.0,1.6,167.0,5048.0,8769.0
