,Step,Value,Wall time
0,1000,402.85638427734375,1542620123.0048625
1,2000,549.2990112304688,1542622856.7513235
2,3000,385.4474792480469,1542625605.4837608
3,4000,218.34286499023438,1542628336.2488415
4,5000,171.14425659179688,1542631088.570623
5,6000,122.7264175415039,1542633843.776688
6,7000,84.16375732421875,1542636574.3975544
7,8000,57.67943572998047,1542639353.5024285
8,9000,60.322784423828125,1542642141.342365
9,10000,47.9001350402832,1542644978.2818847
10,11000,33.57179260253906,1542647558.909452
11,12000,26.198589324951172,1542650521.0186577
12,13000,20.92746925354004,1542653339.4600747
13,14000,14.710278511047363,1542656131.339088
14,15000,10.847883224487305,1542658930.0623374
15,16000,8.148033142089844,1542661743.0818233
16,17000,3.79547381401062,1542664507.5459502
17,18000,2.4937877655029297,1542667314.5246844
18,19000,1.545801043510437,1542670125.439316
19,20000,1.0904405117034912,1542672721.4705377
20,21000,1.0289628505706787,1542675347.5571184
21,22000,1.0176914930343628,1542677966.678262
22,23000,1.013731598854065,1542680556.7459755
23,24000,1.0119260549545288,1542683146.9759426
24,25000,1.0112152099609375,1542685759.404299
25,26000,1.01067054271698,1542688362.5129755
26,27000,1.0102744102478027,1542690958.886591
27,28000,1.010101318359375,1542693548.407216
28,29000,1.0100003480911255,1542696133.77614
29,30000,1.0099879503250122,1542698733.0040731
