,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,182.0,0%,1.0,6.855,11.995,5.59945e-06,11.956,22.0,0.0,3974.1,26.0,0.7,30.0,2753.0,2218.0
1,182.0,0%,2.0,5.149,10.11,1.10989e-05,9.85,44.0,0.0,922.87,53.0,0.8,59.0,2753.0,2226.0
2,182.0,0%,3.0,3.511,7.648,1.65983e-05,7.033,66.0,0.0,130.97,79.0,0.8,87.0,2753.0,2250.0
3,182.0,0%,4.0,2.198,6.402,2.20978e-05,5.546,88.0,0.0,46.71,105.0,0.8,116.0,2753.0,2238.0
4,182.0,0%,5.0,2.199,6.077,2.75972e-05,5.162,110.0,0.0,35.81,131.0,0.8,144.0,2753.0,2244.0
5,182.0,0%,6.0,1.957,5.874,3.30967e-05,4.924,132.0,0.0,30.36,157.0,0.8,172.0,2753.0,2263.0
6,182.0,0%,7.0,2.22,5.736,3.85961e-05,4.769,154.0,0.0,27.27,184.0,0.8,200.0,2753.0,2214.0
7,182.0,0%,8.0,1.994,5.588,4.40956e-05,4.595,176.0,0.0,24.16,210.0,0.8,229.0,2753.0,2225.0
8,182.0,0%,9.0,1.976,5.444,4.9595e-05,4.424,198.0,0.0,21.47,236.0,0.8,257.0,2753.0,2212.0
9,182.0,0%,10.0,2.341,5.327,5.50945e-05,4.286,220.0,0.0,19.5,262.0,0.8,285.0,2753.0,2257.0
10,182.0,0%,11.0,2.094,5.155,6.05939e-05,4.085,242.0,0.0,16.97,288.0,0.8,314.0,2753.0,2254.0
11,182.0,0%,12.0,1.845,4.981,6.60934e-05,3.88,264.0,0.0,14.72,315.0,0.8,342.0,2753.0,2228.0
12,182.0,0%,13.0,2.455,4.902,7.15928e-05,3.788,286.0,0.0,13.82,341.0,0.8,371.0,2753.0,2235.0
13,182.0,0%,14.0,1.972,4.744,7.70923e-05,3.606,308.0,0.0,12.17,368.0,0.8,399.0,2753.0,2190.0
14,182.0,0%,15.0,2.061,4.65,8.25917e-05,3.498,330.0,0.0,11.3,394.0,0.8,428.0,2753.0,2201.0
15,182.0,0%,16.0,2.654,4.634,8.80912e-05,3.476,352.0,0.0,11.13,421.0,0.8,457.0,2753.0,2231.0
16,182.0,0%,17.0,2.05,4.463,9.35906e-05,3.276,374.0,0.0,9.69,447.0,0.8,485.0,2753.0,2241.0
17,182.0,0%,18.0,1.645,4.331,9.90901e-05,3.133,396.0,0.0,8.77,474.0,0.8,514.0,2753.0,2222.0
18,182.0,0%,19.0,2.013,4.283,0.00010459,3.072,418.0,0.0,8.41,500.0,0.8,542.0,2753.0,2246.0
19,182.0,0%,20.0,2.11,4.249,0.000110089,3.027,440.0,0.0,8.15,527.0,0.8,571.0,2753.0,2203.0
20,182.0,0%,21.0,1.534,4.121,0.000115588,2.883,462.0,0.0,7.38,553.0,0.8,600.0,2753.0,2241.0
21,182.0,0%,22.0,2.79,4.088,0.000121088,2.847,484.0,0.0,7.2,579.0,0.8,628.0,2753.0,2194.0
22,182.0,0%,23.0,1.533,4.017,0.000126587,2.76,506.0,0.0,6.78,606.0,0.8,657.0,2753.0,2213.0
23,182.0,0%,24.0,1.315,3.92,0.000132087,2.646,528.0,0.0,6.26,632.0,0.8,685.0,2753.0,2244.0
24,182.0,0%,25.0,1.356,3.864,0.000137586,2.58,550.0,0.0,5.98,659.0,0.8,714.0,2753.0,2190.0
25,182.0,0%,26.0,1.994,3.88,0.000143086,2.598,572.0,0.0,6.06,685.0,0.8,743.0,2753.0,2222.0
26,182.0,0%,27.0,1.298,3.785,0.000148585,2.485,594.0,0.0,5.6,712.0,0.8,771.0,2753.0,2213.0
27,182.0,0%,28.0,1.014,3.698,0.000154085,2.388,616.0,0.0,5.23,739.0,0.8,800.0,2753.0,2212.0
28,182.0,0%,29.0,0.905,3.629,0.000159584,2.306,638.0,0.0,4.94,765.0,0.8,829.0,2753.0,2197.0
29,182.0,0%,30.0,0.772,3.578,0.000165083,2.247,660.0,0.0,4.75,792.0,0.8,857.0,2753.0,2185.0
30,182.0,0%,31.0,1.004,3.551,0.000170583,2.212,682.0,0.0,4.63,818.0,0.8,886.0,2753.0,2190.0
31,182.0,0%,32.0,1.486,3.543,0.000176082,2.202,704.0,0.0,4.6,845.0,0.8,915.0,2753.0,2223.0
32,182.0,0%,33.0,0.935,3.491,0.000181582,2.142,726.0,0.0,4.41,871.0,0.8,943.0,2753.0,2246.0
33,182.0,0%,34.0,1.14,3.48,0.000187081,2.121,748.0,0.0,4.35,898.0,0.8,972.0,2753.0,2205.0
34,182.0,0%,35.0,0.811,3.415,0.000192581,2.05,770.0,0.0,4.14,924.0,0.8,1001.0,2753.0,2206.0
35,182.0,0%,36.0,0.796,3.363,0.00019808,1.987,792.0,0.0,3.96,951.0,0.8,1029.0,2753.0,2200.0
36,182.0,0%,37.0,1.143,3.338,0.00020358,1.961,814.0,0.0,3.89,977.0,0.8,1058.0,2753.0,2189.0
37,182.0,0%,38.0,1.827,3.446,0.000209079,2.073,836.0,0.0,4.21,1004.0,0.8,1087.0,2753.0,2181.0
38,182.0,0%,39.0,0.979,3.336,0.000214579,1.946,858.0,0.0,3.85,1031.0,0.8,1116.0,2753.0,2171.0
39,182.0,0%,40.0,0.775,3.21,0.000220078,1.81,880.0,0.0,3.51,1057.0,0.8,1144.0,2753.0,2207.0
40,182.0,0%,41.0,0.734,3.135,0.000225577,1.729,902.0,0.0,3.31,1084.0,0.8,1173.0,2753.0,2234.0
41,182.0,0%,42.0,0.898,3.066,0.000231077,1.648,924.0,0.0,3.14,1111.0,0.8,1202.0,2753.0,2220.0
42,182.0,0%,43.0,0.954,3.013,0.000236576,1.585,946.0,0.0,3.0,1137.0,0.8,1230.0,2753.0,2187.0
43,182.0,0%,44.0,0.869,2.939,0.000242076,1.501,968.0,0.0,2.83,1164.0,0.8,1259.0,2753.0,2190.0
44,182.0,0%,45.0,0.927,2.878,0.000247575,1.428,990.0,0.0,2.69,1190.0,0.8,1288.0,2753.0,2235.0
45,182.0,0%,46.0,1.009,2.8,0.000253075,1.336,1012.0,0.0,2.52,1217.0,0.8,1316.0,2753.0,2192.0
46,182.0,0%,47.0,0.981,2.744,0.000258574,1.269,1034.0,0.0,2.41,1243.0,0.8,1345.0,2753.0,2224.0
47,182.0,0%,48.0,0.977,2.665,0.000264074,1.179,1056.0,0.0,2.26,1270.0,0.8,1374.0,2753.0,2227.0
48,182.0,0%,49.0,0.986,2.568,0.000269573,1.068,1078.0,0.0,2.1,1296.0,0.8,1402.0,2753.0,2225.0
49,182.0,0%,50.0,0.944,2.492,0.000275072,0.981,1100.0,0.0,1.97,1323.0,0.8,1431.0,2753.0,2211.0
50,182.0,0%,51.0,0.882,2.418,0.000280572,0.89,1122.0,0.0,1.85,1349.0,0.6,1468.0,2753.0,2197.0
51,182.0,0%,52.0,0.948,2.342,0.000286071,0.804,1144.0,0.0,1.75,1376.0,0.8,1497.0,2753.0,2227.0
52,182.0,0%,53.0,0.777,2.241,0.000291571,0.691,1166.0,0.0,1.61,1402.0,0.8,1525.0,2753.0,2225.0
53,182.0,0%,54.0,0.729,2.18,0.00029707,0.616,1188.0,0.0,1.53,1429.0,0.8,1554.0,2753.0,2217.0
54,182.0,0%,55.0,0.655,2.107,0.00030257,0.535,1210.0,0.0,1.45,1456.0,0.8,1583.0,2753.0,2218.0
55,182.0,0%,56.0,0.828,2.078,0.000308069,0.502,1232.0,0.0,1.42,1482.0,0.8,1611.0,2753.0,2183.0
56,182.0,0%,57.0,0.769,2.063,0.000313569,0.481,1254.0,0.0,1.4,1509.0,0.8,1640.0,2753.0,2240.0
57,182.0,0%,58.0,0.646,1.999,0.000319068,0.405,1276.0,0.0,1.32,1535.0,0.8,1668.0,2753.0,2215.0
58,182.0,0%,59.0,0.508,1.941,0.000324568,0.339,1298.0,0.0,1.27,1561.0,0.8,1697.0,2753.0,2193.0
59,182.0,0%,60.0,0.495,1.911,0.000330067,0.308,1320.0,0.0,1.24,1588.0,0.8,1726.0,2753.0,2232.0
60,182.0,0%,61.0,0.474,1.896,0.000335566,0.291,1342.0,0.0,1.22,1615.0,0.8,1754.0,2753.0,2189.0
61,182.0,0%,62.0,0.37,1.864,0.000341066,0.257,1364.0,0.0,1.19,1641.0,0.8,1783.0,2753.0,2217.0
62,182.0,0%,63.0,0.382,1.856,0.000346565,0.256,1386.0,0.0,1.19,1668.0,0.8,1812.0,2753.0,2204.0
63,182.0,0%,64.0,0.488,1.875,0.000352065,0.272,1408.0,0.0,1.21,1694.0,0.8,1840.0,2753.0,2182.0
64,182.0,0%,65.0,0.405,1.852,0.000357564,0.252,1430.0,0.0,1.19,1721.0,0.8,1869.0,2753.0,2221.0
65,182.0,0%,66.0,0.473,1.871,0.000363064,0.272,1452.0,0.0,1.21,1748.0,0.8,1898.0,2753.0,2165.0
66,182.0,0%,67.0,0.366,1.846,0.000368563,0.247,1474.0,0.0,1.19,1774.0,0.8,1927.0,2753.0,2197.0
67,182.0,0%,68.0,0.255,1.812,0.000374063,0.212,1496.0,0.0,1.16,1801.0,0.8,1956.0,2753.0,2160.0
68,182.0,0%,69.0,0.242,1.8,0.000379562,0.203,1518.0,0.0,1.15,1828.0,0.8,1985.0,2753.0,2224.0
69,182.0,0%,70.0,0.244,1.797,0.000385061,0.205,1540.0,0.0,1.15,1854.0,0.8,2013.0,2753.0,2203.0
70,182.0,0%,71.0,0.248,1.795,0.000390561,0.204,1562.0,0.0,1.15,1881.0,0.8,2042.0,2753.0,2210.0
71,182.0,0%,72.0,0.251,1.791,0.00039606,0.203,1584.0,0.0,1.15,1908.0,0.8,2071.0,2753.0,2219.0
