,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,456.0,100%,1.0,2.65,7.668,0.5,7.075,32.0,0.0,134.83,15.0,1.6,19.0,6186.0,11306.0
1,456.0,100%,2.0,2.663,5.417,0.5,4.441,64.0,0.0,21.72,30.0,1.8,37.0,6186.0,11297.0
2,456.0,100%,3.0,2.226,4.587,0.5,3.43,96.0,0.0,10.78,46.0,1.8,55.0,6186.0,11291.0
3,456.0,100%,4.0,1.501,3.727,0.5,2.442,128.0,0.0,5.44,61.0,1.8,72.0,6186.0,11251.0
4,456.0,100%,5.0,1.229,3.166,0.5,1.792,160.0,0.0,3.46,76.0,1.8,90.0,6186.0,11367.0
5,456.0,100%,6.0,0.871,2.848,0.5,1.444,192.0,0.0,2.72,91.0,1.8,107.0,6186.0,11491.0
6,456.0,100%,7.0,0.658,2.632,0.5,1.22,224.0,0.0,2.33,106.0,1.8,125.0,6186.0,11443.0
7,456.0,100%,8.0,0.573,2.527,0.5,1.109,256.0,0.0,2.16,122.0,1.8,143.0,6186.0,11345.0
8,456.0,100%,9.0,0.441,2.393,0.5,0.968,288.0,0.0,1.96,137.0,1.8,160.0,6186.0,11250.0
9,456.0,100%,10.0,0.407,2.287,0.5,0.858,320.0,0.0,1.81,152.0,1.8,178.0,6186.0,11373.0
10,456.0,100%,11.0,0.44,2.204,0.5,0.75,352.0,0.0,1.68,167.0,1.8,195.0,6186.0,11341.0
11,456.0,100%,12.0,0.413,2.089,0.5,0.62,384.0,0.0,1.54,182.0,1.8,213.0,6186.0,11499.0
12,456.0,100%,13.0,0.309,1.986,0.5,0.523,416.0,0.0,1.44,198.0,1.8,231.0,6186.0,11473.0
13,456.0,100%,14.0,0.331,1.952,0.5,0.482,448.0,0.0,1.4,213.0,1.8,248.0,6186.0,11416.0
14,456.0,97%,15.0,0.295,1.907,0.5,0.436,480.0,0.0,1.35,228.0,1.8,266.0,6186.0,11328.0
15,456.0,100%,16.0,0.224,1.849,0.5,0.384,512.0,0.0,1.3,243.0,1.8,283.0,6186.0,11395.0
16,456.0,91%,17.0,0.239,1.832,0.5,0.372,544.0,0.0,1.29,258.0,1.8,301.0,6186.0,11299.0
17,456.0,100%,18.0,0.267,1.824,0.5,0.357,576.0,0.0,1.28,274.0,1.8,319.0,6186.0,11409.0
18,456.0,94%,19.0,0.241,1.792,0.5,0.318,608.0,0.0,1.25,289.0,1.8,336.0,6186.0,11434.0
19,456.0,81%,20.0,0.176,1.75,0.5,0.29,640.0,0.0,1.22,304.0,1.8,354.0,6186.0,11508.0
20,456.0,75%,21.0,0.139,1.718,0.5,0.259,672.0,0.0,1.2,319.0,1.8,371.0,6186.0,11325.0
21,456.0,75%,22.0,0.164,1.722,0.5,0.262,704.0,0.0,1.2,334.0,1.8,389.0,6186.0,11438.0
22,456.0,78%,23.0,0.173,1.717,0.5,0.252,736.0,0.0,1.19,350.0,1.8,406.0,6186.0,11247.0
23,456.0,69%,24.0,0.143,1.694,0.5,0.232,768.0,0.0,1.17,365.0,1.8,424.0,6186.0,11356.0
24,456.0,53%,25.0,0.118,1.676,0.5,0.222,800.0,0.0,1.17,380.0,1.8,441.0,6186.0,11376.0
25,456.0,62%,26.0,0.129,1.672,0.5,0.215,832.0,0.0,1.16,395.0,1.8,459.0,6186.0,11276.0
26,456.0,44%,27.0,0.107,1.651,0.5,0.196,864.0,0.0,1.15,410.0,1.8,477.0,6186.0,11272.0
27,456.0,41%,28.0,0.1,1.645,0.5,0.191,896.0,0.0,1.14,425.0,1.8,494.0,6186.0,11511.0
28,456.0,50%,29.0,0.102,1.64,0.5,0.186,928.0,0.0,1.14,441.0,1.8,512.0,6186.0,11387.0
29,456.0,41%,30.0,0.105,1.637,0.5,0.189,960.0,0.0,1.14,456.0,1.8,529.0,6186.0,11418.0
30,456.0,31%,31.0,0.08,1.626,0.5,0.177,992.0,0.0,1.13,471.0,1.8,547.0,6186.0,11422.0
31,456.0,16%,32.0,0.076,1.624,0.5,0.177,1024.0,0.0,1.13,486.0,1.8,564.0,6186.0,11489.0
32,456.0,9%,33.0,0.071,1.619,0.5,0.172,1056.0,0.0,1.13,501.0,1.8,582.0,6186.0,11447.0
33,456.0,9%,34.0,0.064,1.617,0.5,0.172,1088.0,0.0,1.13,516.0,1.8,599.0,6186.0,11382.0
34,456.0,9%,35.0,0.068,1.617,0.5,0.173,1120.0,0.0,1.13,532.0,1.8,617.0,6186.0,11442.0
35,456.0,12%,36.0,0.065,1.615,0.5,0.174,1152.0,0.0,1.13,547.0,1.8,634.0,6186.0,11340.0
