,Step,Value,Wall time
0,1000,7.4706315994262695,1541423091.6033733
1,2000,1.5561702251434326,1541424122.4130914
2,3000,1.2603366374969482,1541425149.9147184
3,4000,1.138346552848816,1541426181.5161574
4,5000,1.0905134677886963,1541427210.6050673
5,6000,1.0751851797103882,1541428246.7274163
6,7000,1.0448603630065918,1541429275.0847394
7,8000,1.0395382642745972,1541430313.9201922
8,9000,1.041035771369934,1541431341.0306115
9,10000,1.0367560386657715,1541432379.32585
10,11000,1.0284554958343506,1541433419.694349
11,12000,1.0243643522262573,1541434444.1006615
12,13000,1.0211964845657349,1541435473.453855
13,14000,1.0141849517822266,1541436497.3544967
14,15000,1.0076966285705566,1541437524.5979407
15,16000,1.0049697160720825,1541438553.5697277
16,17000,1.0020854473114014,1541439580.4653213
17,18000,1.0015490055084229,1541440606.5179322
18,19000,1.00155508518219,1541441634.1312518
19,20000,1.0012975931167603,1541442670.6550832
20,21000,1.0012253522872925,1541443704.95776
21,22000,1.0012969970703125,1541444732.3325627
22,23000,1.0012502670288086,1541445757.5303411
23,24000,1.0012826919555664,1541446784.383256
24,25000,1.0012401342391968,1541447808.1472998
25,26000,1.0012691020965576,1541448841.065498
26,27000,1.0013643503189087,1541449866.1229553
27,28000,1.001280665397644,1541450894.3954616
28,29000,1.0012158155441284,1541451919.1415226
29,30000,1.0012401342391968,1541452947.0133886
