,Step,Value,Wall time
0,1000,1.764937400817871,1541422164.1038995
1,2000,1.567610502243042,1541422259.0920606
2,3000,1.3241662979125977,1541422352.1186166
3,4000,1.2005687952041626,1541422447.0457973
4,5000,1.1499996185302734,1541422540.605816
5,6000,1.11600661277771,1541422636.7235913
6,7000,1.097012996673584,1541422730.460809
7,8000,1.0725250244140625,1541422825.62819
8,9000,1.0577024221420288,1541422919.3901978
9,10000,1.0514601469039917,1541423014.6824336
10,11000,1.0475349426269531,1541423110.8349953
11,12000,1.0425634384155273,1541423204.3635414
12,13000,1.0371614694595337,1541423299.5800147
13,14000,1.0363707542419434,1541423392.9691064
14,15000,1.0341699123382568,1541423488.191531
15,16000,1.028604507446289,1541423582.6390293
16,17000,1.0257620811462402,1541423677.824646
17,18000,1.0222442150115967,1541423771.3931894
18,19000,1.019999384880066,1541423866.5400708
19,20000,1.0193616151809692,1541423959.944904
20,21000,1.0147476196289062,1541424056.2252257
21,22000,1.0143550634384155,1541424151.1901636
22,23000,1.012000560760498,1541424244.5964267
23,24000,1.010038137435913,1541424339.622844
24,25000,1.0077369213104248,1541424432.9187617
25,26000,1.0065723657608032,1541424529.0528233
26,27000,1.0070123672485352,1541424622.5223007
27,28000,1.0047951936721802,1541424717.442735
28,29000,1.0038491487503052,1541424810.869478
29,30000,1.0035357475280762,1541424906.2265377
30,31000,1.0031132698059082,1541425000.8684285
31,32000,1.0029873847961426,1541425096.0345573
32,33000,1.0038995742797852,1541425191.2988274
33,34000,1.0031089782714844,1541425284.9060733
34,35000,1.0024482011795044,1541425380.2541
35,36000,1.0025744438171387,1541425474.900474
36,37000,1.0022920370101929,1541425570.1958797
37,38000,1.0019400119781494,1541425663.6178734
38,39000,1.002070665359497,1541425758.8899155
39,40000,1.002066969871521,1541425852.3518794
40,41000,1.001909852027893,1541425948.7699459
41,42000,1.001843810081482,1541426042.4038002
42,43000,1.0019042491912842,1541426137.670559
43,44000,1.0020406246185303,1541426233.0307302
44,45000,1.0021682977676392,1541426326.7053149
45,46000,1.0020473003387451,1541426423.0951893
46,47000,1.001693606376648,1541426516.6784563
47,48000,1.0015987157821655,1541426611.9894936
48,49000,1.0016751289367676,1541426705.783181
49,50000,1.0017282962799072,1541426801.092451
