,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,243.0,0%,1.0,6.281,9.95,1.50985e-05,9.803,60.0,0.0,893.1,63.0,0.9,70.0,3299.0,3015.0
1,243.0,0%,2.0,4.732,6.255,3.0097e-05,5.573,120.0,0.0,47.6,126.0,0.9,137.0,3299.0,3018.0
2,243.0,0%,3.0,4.282,5.085,4.50955e-05,4.162,180.0,0.0,17.9,189.0,0.9,203.0,3299.0,3014.0
3,243.0,0%,4.0,3.704,4.455,6.0094e-05,3.402,240.0,0.0,10.57,252.0,0.9,269.0,3299.0,2995.0
4,243.0,0%,5.0,3.382,4.13,7.50925e-05,3.019,300.0,0.0,8.11,315.0,0.9,336.0,3299.0,2982.0
5,243.0,0%,6.0,3.427,3.906,9.0091e-05,2.76,360.0,0.0,6.77,379.0,0.9,402.0,3299.0,2981.0
6,243.0,0%,7.0,2.586,3.559,0.000105089,2.362,420.0,0.0,5.14,442.0,0.9,469.0,3299.0,2982.0
7,243.0,0%,8.0,3.324,3.625,0.000120088,2.439,480.0,0.0,5.42,505.0,0.9,536.0,3299.0,2990.0
8,243.0,0%,9.0,2.996,3.569,0.000135087,2.358,540.0,0.0,5.13,569.0,0.9,602.0,3299.0,2972.0
9,243.0,0%,10.0,2.354,3.327,0.000150085,2.083,600.0,0.0,4.24,632.0,0.9,669.0,3299.0,2987.0
10,243.0,0%,11.0,2.657,3.579,0.000165083,2.375,660.0,0.0,5.19,695.0,0.9,735.0,3299.0,2998.0
11,243.0,0%,12.0,2.536,3.428,0.000180082,2.203,720.0,0.0,4.6,758.0,0.9,802.0,3299.0,3013.0
12,243.0,0%,13.0,2.051,3.269,0.00019508,2.025,780.0,0.0,4.07,822.0,0.9,868.0,3299.0,2983.0
13,243.0,0%,14.0,1.967,3.219,0.000210079,1.966,840.0,0.0,3.91,885.0,0.9,935.0,3299.0,2982.0
14,243.0,0%,15.0,1.794,3.094,0.000225077,1.831,900.0,0.0,3.56,949.0,0.9,1002.0,3299.0,2990.0
15,243.0,0%,16.0,2.112,3.269,0.000240076,2.026,960.0,0.0,4.07,1013.0,0.9,1069.0,3299.0,2977.0
16,243.0,0%,17.0,2.233,3.359,0.000255074,2.112,1020.0,0.0,4.32,1076.0,0.9,1136.0,3299.0,2990.0
17,243.0,0%,18.0,1.52,3.008,0.000270073,1.72,1080.0,0.0,3.3,1140.0,0.9,1203.0,3299.0,2980.0
18,243.0,0%,19.0,1.03,2.713,0.000285071,1.398,1140.0,0.0,2.63,1203.0,0.9,1269.0,3299.0,2995.0
19,243.0,0%,20.0,1.431,2.96,0.00030007,1.674,1200.0,0.0,3.19,1267.0,0.9,1336.0,3299.0,2970.0
20,243.0,0%,21.0,1.187,2.698,0.000315069,1.372,1260.0,0.0,2.59,1330.0,0.9,1403.0,3299.0,2976.0
21,243.0,0%,22.0,1.024,2.565,0.000330067,1.228,1320.0,0.0,2.34,1394.0,0.9,1470.0,3299.0,2976.0
22,243.0,0%,23.0,1.222,2.573,0.000345065,1.217,1380.0,0.0,2.32,1457.0,0.9,1537.0,3299.0,2991.0
23,243.0,0%,24.0,0.783,2.443,0.000360064,1.075,1440.0,0.0,2.11,1521.0,0.9,1604.0,3299.0,2955.0
24,243.0,0%,25.0,0.721,2.381,0.000375062,1.017,1500.0,0.0,2.02,1585.0,0.9,1671.0,3299.0,2991.0
25,243.0,0%,26.0,0.574,2.281,0.000390061,0.904,1560.0,0.0,1.87,1649.0,0.9,1738.0,3299.0,2957.0
26,243.0,0%,27.0,0.627,2.286,0.000405059,0.892,1620.0,0.0,1.86,1713.0,0.9,1805.0,3299.0,2971.0
