,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,224.0,0%,1.0,6.391,10.587,8.34917e-06,10.555,33.0,0.0,1504.91,33.0,0.8,39.0,3008.0,2849.0
1,224.0,0%,2.0,5.427,7.998,1.65983e-05,7.642,66.0,0.0,199.76,67.0,0.9,78.0,3008.0,2807.0
2,224.0,0%,3.0,4.007,6.005,2.48475e-05,5.324,99.0,0.0,40.05,101.0,0.9,117.0,3008.0,2804.0
3,224.0,0%,4.0,4.15,5.254,3.30967e-05,4.41,132.0,0.0,21.26,134.0,0.9,155.0,3008.0,2793.0
4,224.0,0%,5.0,4.138,4.897,4.13459e-05,3.996,165.0,0.0,15.96,168.0,0.9,194.0,3008.0,2795.0
5,224.0,0%,6.0,3.656,4.54,4.9595e-05,3.564,198.0,0.0,11.83,202.0,0.9,233.0,3008.0,2858.0
6,224.0,0%,7.0,3.261,4.247,5.78442e-05,3.219,231.0,0.0,9.31,235.0,0.9,272.0,3008.0,2841.0
7,224.0,0%,8.0,3.759,4.089,6.60934e-05,3.031,264.0,0.0,8.18,269.0,0.9,310.0,3008.0,2809.0
8,224.0,0%,9.0,2.872,3.816,7.43426e-05,2.705,297.0,0.0,6.52,302.0,0.9,349.0,3008.0,2820.0
9,224.0,0%,10.0,2.738,3.575,8.25917e-05,2.421,330.0,0.0,5.36,336.0,0.9,387.0,3008.0,2813.0
10,224.0,0%,11.0,3.504,3.538,9.08409e-05,2.371,363.0,0.0,5.17,370.0,0.9,426.0,3008.0,2789.0
11,224.0,0%,12.0,2.866,3.395,9.90901e-05,2.211,396.0,0.0,4.63,403.0,0.9,465.0,3008.0,2861.0
12,224.0,0%,13.0,3.023,3.366,0.000107339,2.169,429.0,0.0,4.5,437.0,0.9,504.0,3008.0,2795.0
13,224.0,0%,14.0,3.178,3.388,0.000115588,2.203,462.0,0.0,4.61,471.0,0.8,542.0,3008.0,2810.0
14,224.0,0%,15.0,2.616,3.273,0.000123838,2.072,495.0,0.0,4.21,504.0,0.9,581.0,3008.0,2848.0
15,224.0,0%,16.0,2.275,3.162,0.000132087,1.934,528.0,0.0,3.82,538.0,0.9,620.0,3008.0,2814.0
16,224.0,0%,17.0,2.359,3.159,0.000140336,1.935,561.0,0.0,3.82,571.0,0.9,658.0,3008.0,2806.0
17,224.0,0%,18.0,2.969,3.447,0.000148585,2.256,594.0,0.0,4.78,605.0,0.9,697.0,3008.0,2805.0
18,224.0,0%,19.0,2.656,3.222,0.000156834,2.004,627.0,0.0,4.01,639.0,0.9,736.0,3008.0,2792.0
19,224.0,0%,20.0,2.474,3.233,0.000165083,2.022,660.0,0.0,4.06,672.0,0.9,775.0,3008.0,2799.0
20,224.0,0%,21.0,2.54,3.269,0.000173333,2.053,693.0,0.0,4.15,706.0,0.9,813.0,3008.0,2808.0
21,224.0,0%,22.0,3.122,3.333,0.000181582,2.114,726.0,0.0,4.33,740.0,0.9,852.0,3008.0,2874.0
22,224.0,0%,23.0,2.065,3.199,0.000189831,1.987,759.0,0.0,3.96,773.0,0.9,891.0,3008.0,2790.0
23,224.0,0%,24.0,1.495,2.941,0.00019808,1.689,792.0,0.0,3.22,807.0,0.9,929.0,3008.0,2837.0
24,224.0,0%,25.0,1.77,2.992,0.000206329,1.75,825.0,0.0,3.36,841.0,0.9,968.0,3008.0,2802.0
25,224.0,0%,26.0,1.903,3.354,0.000214579,2.162,858.0,0.0,4.47,874.0,0.9,1007.0,3008.0,2825.0
