,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,237.0,0%,1.0,9.415,10.635,6.34875e-06,10.52,50.0,0.0,1468.17,27.0,1.6,31.0,3211.0,5371.0
1,237.0,0%,2.0,5.373,7.827,1.25975e-05,7.362,100.0,0.0,164.49,55.0,1.6,63.0,3211.0,5421.0
2,237.0,0%,3.0,4.539,6.851,1.88463e-05,6.241,150.0,0.0,75.62,82.0,1.6,94.0,3211.0,5404.0
3,237.0,0%,4.0,4.756,5.811,2.5095e-05,5.053,200.0,0.0,33.2,109.0,1.6,125.0,3211.0,5430.0
4,237.0,0%,5.0,4.693,4.771,3.13438e-05,3.854,250.0,0.0,14.46,137.0,1.6,157.0,3211.0,5431.0
5,237.0,0%,6.0,4.452,4.083,3.75925e-05,3.04,300.0,0.0,8.22,164.0,1.6,188.0,3211.0,5427.0
6,237.0,0%,7.0,4.014,3.552,4.38413e-05,2.407,350.0,0.0,5.3,191.0,1.6,220.0,3211.0,5409.0
7,237.0,0%,8.0,3.528,3.207,5.009e-05,1.983,400.0,0.0,3.95,219.0,1.6,251.0,3211.0,5420.0
8,237.0,0%,9.0,3.267,3.004,5.63388e-05,1.732,450.0,0.0,3.32,246.0,1.6,283.0,3211.0,5387.0
9,237.0,0%,10.0,2.387,2.821,6.25875e-05,1.514,500.0,0.0,2.86,273.0,1.6,314.0,3211.0,5382.0
10,237.0,0%,11.0,2.429,2.749,6.88363e-05,1.422,550.0,0.0,2.68,301.0,1.6,346.0,3211.0,5414.0
11,237.0,0%,12.0,1.933,2.647,7.5085e-05,1.302,600.0,0.0,2.47,328.0,1.6,377.0,3211.0,5414.0
12,237.0,0%,13.0,1.773,2.596,8.13338e-05,1.248,650.0,0.0,2.38,355.0,1.6,409.0,3211.0,5403.0
13,237.0,0%,14.0,1.671,2.556,8.75825e-05,1.198,700.0,0.0,2.29,383.0,1.6,440.0,3211.0,5396.0
14,237.0,0%,15.0,1.726,2.522,9.38313e-05,1.159,750.0,0.0,2.23,410.0,1.6,472.0,3211.0,5433.0
15,237.0,0%,16.0,1.332,2.493,0.00010008,1.128,800.0,0.0,2.19,437.0,1.6,503.0,3211.0,5405.0
16,237.0,0%,17.0,0.808,2.417,0.000106329,1.051,850.0,0.0,2.07,465.0,1.6,535.0,3211.0,5413.0
17,237.0,0%,18.0,1.229,2.447,0.000112578,1.085,900.0,0.0,2.12,492.0,1.6,566.0,3211.0,5377.0
18,237.0,0%,19.0,1.845,2.528,0.000118826,1.172,950.0,0.0,2.25,519.0,1.6,598.0,3211.0,5422.0
19,237.0,0%,20.0,0.876,2.401,0.000125075,1.036,1000.0,0.0,2.05,547.0,1.6,629.0,3211.0,5404.0
20,237.0,0%,21.0,0.626,2.369,0.000131324,1.008,1050.0,0.0,2.01,574.0,1.6,661.0,3211.0,5388.0
21,237.0,0%,22.0,0.686,2.357,0.000137573,0.994,1100.0,0.0,1.99,601.0,1.6,692.0,3211.0,5373.0
22,237.0,0%,23.0,1.08,2.398,0.000143821,1.035,1150.0,0.0,2.05,629.0,1.6,723.0,3211.0,5449.0
23,237.0,0%,24.0,0.994,2.365,0.00015007,1.002,1200.0,0.0,2.0,656.0,1.6,755.0,3211.0,5376.0
24,237.0,0%,25.0,1.211,2.391,0.000156319,1.026,1250.0,0.0,2.04,683.0,1.6,786.0,3211.0,5395.0
