,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
13,265.0,0%,1.0,1.647,5.411,0.000675782,3.679,2703.0,0.0,12.81,1820.0,1.3,2036.0,3657.0,4946.0
14,265.0,0%,2.0,0.414,3.803,0.000860185,1.87,5406.0,0.0,3.65,3641.0,1.2,4237.0,3657.0,4946.0
15,265.0,0%,3.0,0.226,3.556,0.000702338,1.601,8109.0,0.0,3.03,5461.0,1.2,6434.0,3657.0,4946.0
16,265.0,0%,4.0,0.184,3.437,0.000608243,1.471,10812.0,0.0,2.77,7281.0,1.2,8629.0,3657.0,4947.0
17,265.0,0%,5.0,0.167,3.34,0.000544029,1.364,13515.0,0.0,2.57,9100.0,1.2,10823.0,3657.0,4950.0
18,265.0,0%,6.0,0.158,3.255,0.000496628,1.271,16218.0,0.0,2.41,10917.0,1.2,13016.0,3657.0,4953.0
19,265.0,0%,7.0,0.152,3.189,0.000459788,1.198,18921.0,0.0,2.29,12734.0,1.2,15207.0,3657.0,4954.0
20,265.0,0%,8.0,0.148,3.142,0.000430093,1.146,21624.0,0.0,2.21,14551.0,1.2,17399.0,3657.0,4956.0
21,265.0,0%,9.0,0.144,3.11,0.000405495,1.111,24327.0,0.0,2.16,16368.0,1.2,19591.0,3657.0,4955.0
22,265.0,0%,10.0,0.141,3.085,0.000384687,1.084,27030.0,0.0,2.12,18184.0,1.2,21782.0,3657.0,4956.0
26,265.0,0%,11.0,0.139,3.065,0.000366784,1.062,29733.0,0.0,2.09,20001.0,1.3,2019.0,3657.0,4956.0
23,265.0,0%,11.0,0.139,3.065,0.000366784,1.062,29733.0,0.0,2.09,20001.0,1.2,24055.0,3657.0,4955.0
27,265.0,0%,12.0,0.137,3.05,0.000351169,1.046,32436.0,0.0,2.07,21817.0,1.2,4216.0,3657.0,4955.0
24,265.0,0%,12.0,0.137,3.05,0.000351169,1.046,32436.0,0.0,2.07,21817.0,1.2,26246.0,3657.0,4956.0
25,265.0,0%,13.0,0.137,3.039,0.000337392,1.035,35139.0,0.0,2.05,23633.0,1.2,28437.0,3657.0,4956.0
28,265.0,0%,13.0,0.137,3.039,0.000337392,1.035,35139.0,0.0,2.05,23634.0,1.2,6407.0,3657.0,4956.0
29,265.0,0%,14.0,0.135,3.029,0.000325119,1.024,37842.0,0.0,2.03,25450.0,1.2,8597.0,3657.0,4956.0
30,265.0,0%,15.0,0.136,3.021,0.000314095,1.016,40545.0,0.0,2.02,27266.0,1.2,10788.0,3657.0,4957.0
31,265.0,0%,16.0,0.133,3.014,0.000304121,1.009,43248.0,0.0,2.01,29081.0,1.2,12978.0,3657.0,4957.0
32,265.0,0%,17.0,0.133,3.005,0.000295041,0.999,45951.0,0.0,2.0,30897.0,1.2,15168.0,3657.0,4957.0
33,265.0,0%,18.0,0.132,3.005,0.000286728,0.999,48654.0,0.0,2.0,32712.0,1.2,17358.0,3657.0,4958.0
34,265.0,0%,19.0,0.134,2.997,0.000279081,0.99,51357.0,0.0,1.99,34529.0,1.2,19550.0,3657.0,4956.0
35,265.0,0%,20.0,0.132,2.995,0.000272014,0.989,54060.0,0.0,1.98,36346.0,1.2,21741.0,3657.0,4954.0
44,265.0,0%,21.0,0.131,2.989,0.000265459,0.982,56763.0,0.0,1.97,38155.0,1.3,2006.0,3657.0,4978.0
36,265.0,0%,21.0,0.131,2.989,0.000265459,0.982,56763.0,0.0,1.97,38162.0,1.2,24006.0,3657.0,4955.0
45,265.0,0%,22.0,0.131,2.986,0.000259356,0.979,59466.0,0.0,1.97,39965.0,1.2,4186.0,3657.0,4977.0
37,265.0,0%,22.0,0.131,2.986,0.000259356,0.979,59466.0,0.0,1.97,39979.0,1.2,26197.0,3657.0,4956.0
38,265.0,0%,23.0,0.13,2.981,0.000253655,0.974,62169.0,0.0,1.96,41795.0,1.2,28388.0,3657.0,4955.0
46,265.0,0%,23.0,0.13,2.981,0.000253655,0.974,62169.0,0.0,1.96,41773.0,1.2,6361.0,3657.0,4978.0
47,265.0,0%,24.0,0.131,2.981,0.000248314,0.974,64872.0,0.0,1.96,43582.0,1.2,8536.0,3657.0,4978.0
48,265.0,0%,25.0,0.13,2.976,0.000243297,0.969,67575.0,0.0,1.96,45391.0,1.2,10711.0,3657.0,4979.0
49,265.0,0%,26.0,0.13,2.974,0.000238572,0.967,70278.0,0.0,1.95,47199.0,1.2,12886.0,3657.0,4978.0
50,265.0,0%,27.0,0.129,2.97,0.000234113,0.962,72981.0,0.0,1.95,49008.0,1.2,15061.0,3657.0,4979.0
51,265.0,0%,28.0,0.131,2.969,0.000229894,0.961,75684.0,0.0,1.95,50814.0,1.2,17234.0,3657.0,4983.0
52,265.0,0%,29.0,0.128,2.968,0.000225896,0.961,78387.0,0.0,1.95,52621.0,1.2,19407.0,3657.0,4982.0
53,265.0,0%,30.0,0.131,2.966,0.000222099,0.958,81090.0,0.0,1.94,54428.0,1.2,21580.0,3657.0,4982.0
54,265.0,0%,31.0,0.129,2.961,0.000218487,0.953,83793.0,0.0,1.94,56235.0,1.2,23843.0,3657.0,4981.0
0,265.0,0%,31.0,0.129,2.961,0.000218487,0.953,83793.0,0.0,1.94,56198.0,1.4,1967.0,3657.0,5078.0
55,265.0,0%,32.0,0.129,2.96,0.000215046,0.952,86496.0,0.0,1.93,58043.0,1.2,26016.0,3657.0,4981.0
1,265.0,0%,32.0,0.129,2.96,0.000215046,0.952,86496.0,0.0,1.93,57968.0,1.3,4107.0,3657.0,5074.0
2,265.0,0%,33.0,0.129,2.961,0.000211763,0.953,89199.0,0.0,1.94,59739.0,1.3,6242.0,3657.0,5075.0
56,265.0,0%,33.0,0.129,2.961,0.000211763,0.953,89199.0,0.0,1.94,59850.0,1.2,28190.0,3657.0,4981.0
3,265.0,0%,34.0,0.128,2.957,0.000208626,0.949,91902.0,0.0,1.93,61509.0,1.3,8376.0,3657.0,5075.0
4,265.0,0%,35.0,0.128,2.956,0.000205624,0.948,94605.0,0.0,1.93,63279.0,1.3,10510.0,3657.0,5075.0
5,265.0,0%,36.0,0.129,2.954,0.000202748,0.946,97308.0,0.0,1.93,65050.0,1.3,12644.0,3657.0,5075.0
6,265.0,0%,37.0,0.127,2.953,0.000199989,0.945,100011.0,0.0,1.93,66820.0,1.3,14778.0,3657.0,5075.0
7,265.0,0%,38.0,0.129,2.952,0.00019734,0.944,102714.0,0.0,1.92,68590.0,1.3,16913.0,3657.0,5075.0
8,265.0,0%,39.0,0.128,2.95,0.000194794,0.942,105417.0,0.0,1.92,70360.0,1.3,19047.0,3657.0,5075.0
9,265.0,0%,40.0,0.128,2.949,0.000192343,0.941,108120.0,0.0,1.92,72130.0,1.3,21180.0,3657.0,5077.0
