,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,182.0,100%,1.0,4.065,9.233,0.5,8.691,22.0,0.0,413.21,33.0,0.6,36.0,2753.0,1755.0
1,182.0,100%,2.0,2.56,6.752,0.5,5.855,44.0,0.0,57.86,67.0,0.6,72.0,2753.0,1770.0
2,182.0,100%,3.0,1.446,5.814,0.5,4.797,66.0,0.0,27.79,100.0,0.6,108.0,2753.0,1769.0
3,182.0,100%,4.0,1.138,5.069,0.5,3.92,88.0,0.0,15.13,134.0,0.6,144.0,2753.0,1762.0
4,182.0,100%,5.0,0.819,4.598,0.5,3.369,110.0,0.0,10.33,167.0,0.6,180.0,2753.0,1765.0
5,182.0,100%,6.0,0.708,4.285,0.5,3.019,132.0,0.0,8.11,201.0,0.6,216.0,2753.0,1778.0
6,182.0,100%,7.0,0.651,4.092,0.5,2.804,154.0,0.0,6.99,234.0,0.6,251.0,2753.0,1752.0
7,182.0,100%,8.0,0.565,3.956,0.5,2.646,176.0,0.0,6.26,268.0,0.6,287.0,2753.0,1753.0
8,182.0,100%,9.0,0.473,3.836,0.5,2.512,198.0,0.0,5.71,301.0,0.6,323.0,2753.0,1746.0
9,182.0,100%,10.0,0.443,3.726,0.5,2.386,220.0,0.0,5.23,335.0,0.6,359.0,2753.0,1786.0
10,182.0,100%,11.0,0.405,3.613,0.5,2.25,242.0,0.0,4.76,368.0,0.6,395.0,2753.0,1772.0
11,182.0,100%,12.0,0.395,3.51,0.5,2.133,264.0,0.0,4.39,402.0,0.6,431.0,2753.0,1764.0
12,182.0,100%,13.0,0.397,3.396,0.5,1.994,286.0,0.0,3.98,435.0,0.6,467.0,2753.0,1782.0
13,182.0,100%,14.0,0.402,3.268,0.5,1.84,308.0,0.0,3.58,469.0,0.6,502.0,2753.0,1753.0
14,182.0,100%,15.0,0.419,3.141,0.5,1.681,330.0,0.0,3.21,502.0,0.6,538.0,2753.0,1753.0
15,182.0,100%,16.0,0.448,3.003,0.5,1.509,352.0,0.0,2.85,536.0,0.6,574.0,2753.0,1788.0
16,182.0,100%,17.0,0.436,2.862,0.5,1.343,374.0,0.0,2.54,569.0,0.6,610.0,2753.0,1788.0
17,182.0,100%,18.0,0.443,2.721,0.5,1.168,396.0,0.0,2.25,602.0,0.6,646.0,2753.0,1772.0
18,182.0,100%,19.0,0.437,2.6,0.5,1.028,418.0,0.0,2.04,636.0,0.6,682.0,2753.0,1777.0
19,182.0,100%,20.0,0.448,2.485,0.5,0.882,440.0,0.0,1.84,669.0,0.6,717.0,2753.0,1767.0
20,182.0,100%,21.0,0.448,2.384,0.5,0.765,462.0,0.0,1.7,703.0,0.6,753.0,2753.0,1789.0
21,182.0,100%,22.0,0.387,2.295,0.5,0.668,484.0,0.0,1.59,736.0,0.6,789.0,2753.0,1753.0
22,182.0,100%,23.0,0.365,2.223,0.5,0.584,506.0,0.0,1.5,770.0,0.6,825.0,2753.0,1767.0
23,182.0,100%,24.0,0.353,2.163,0.5,0.522,528.0,0.0,1.44,803.0,0.6,861.0,2753.0,1786.0
24,182.0,100%,25.0,0.322,2.118,0.5,0.479,550.0,0.0,1.39,836.0,0.6,897.0,2753.0,1753.0
25,182.0,100%,26.0,0.302,2.069,0.5,0.427,572.0,0.0,1.34,870.0,0.6,933.0,2753.0,1765.0
26,182.0,100%,27.0,0.285,2.034,0.5,0.397,594.0,0.0,1.32,903.0,0.6,968.0,2753.0,1761.0
27,182.0,100%,28.0,0.26,2.001,0.5,0.369,616.0,0.0,1.29,937.0,0.6,1004.0,2753.0,1766.0
28,182.0,100%,29.0,0.255,1.978,0.5,0.347,638.0,0.0,1.27,971.0,0.6,1040.0,2753.0,1747.0
29,182.0,100%,30.0,0.232,1.952,0.5,0.324,660.0,0.0,1.25,1004.0,0.6,1076.0,2753.0,1750.0
30,182.0,100%,31.0,0.222,1.933,0.5,0.308,682.0,0.0,1.24,1038.0,0.6,1112.0,2753.0,1746.0
31,182.0,100%,32.0,0.218,1.917,0.5,0.299,704.0,0.0,1.23,1071.0,0.6,1148.0,2753.0,1772.0
32,182.0,100%,33.0,0.207,1.898,0.5,0.279,726.0,0.0,1.21,1105.0,0.6,1184.0,2753.0,1776.0
33,182.0,100%,34.0,0.189,1.885,0.5,0.269,748.0,0.0,1.21,1138.0,0.6,1220.0,2753.0,1764.0
34,182.0,100%,35.0,0.184,1.874,0.5,0.262,770.0,0.0,1.2,1171.0,0.6,1256.0,2753.0,1769.0
35,182.0,100%,36.0,0.172,1.864,0.5,0.252,792.0,0.0,1.19,1205.0,0.6,1291.0,2753.0,1767.0
36,182.0,100%,37.0,0.171,1.852,0.5,0.242,814.0,0.0,1.18,1238.0,0.6,1327.0,2753.0,1755.0
37,182.0,100%,38.0,0.155,1.842,0.5,0.233,836.0,0.0,1.18,1272.0,0.6,1363.0,2753.0,1750.0
38,182.0,100%,39.0,0.143,1.833,0.5,0.231,858.0,0.0,1.17,1305.0,0.6,1399.0,2753.0,1750.0
39,182.0,100%,40.0,0.15,1.826,0.5,0.223,880.0,0.0,1.17,1339.0,0.6,1435.0,2753.0,1770.0
40,182.0,100%,41.0,0.141,1.822,0.5,0.222,902.0,0.0,1.17,1372.0,0.6,1471.0,2753.0,1786.0
41,182.0,95%,42.0,0.129,1.816,0.5,0.217,924.0,0.0,1.16,1405.0,0.6,1506.0,2753.0,1784.0
42,182.0,95%,43.0,0.133,1.811,0.5,0.212,946.0,0.0,1.16,1439.0,0.6,1542.0,2753.0,1751.0
43,182.0,82%,44.0,0.119,1.803,0.5,0.208,968.0,0.0,1.16,1472.0,0.6,1578.0,2753.0,1752.0
44,182.0,86%,45.0,0.129,1.803,0.5,0.211,990.0,0.0,1.16,1506.0,0.6,1614.0,2753.0,1781.0
45,182.0,86%,46.0,0.118,1.799,0.5,0.208,1012.0,0.0,1.15,1539.0,0.6,1650.0,2753.0,1756.0
46,182.0,82%,47.0,0.123,1.796,0.5,0.204,1034.0,0.0,1.15,1573.0,0.6,1686.0,2753.0,1782.0
47,182.0,68%,48.0,0.114,1.792,0.5,0.204,1056.0,0.0,1.15,1606.0,0.6,1722.0,2753.0,1772.0
48,182.0,86%,49.0,0.117,1.791,0.5,0.203,1078.0,0.0,1.15,1640.0,0.6,1757.0,2753.0,1775.0
49,182.0,73%,50.0,0.123,1.788,0.5,0.199,1100.0,0.0,1.15,1673.0,0.6,1793.0,2753.0,1768.0
50,182.0,64%,51.0,0.105,1.783,0.05,0.197,1122.0,0.0,1.15,1707.0,0.5,1838.0,2753.0,1747.0
51,182.0,14%,52.0,0.09,1.777,0.005,0.19,1144.0,0.0,1.14,1740.0,0.6,1874.0,2753.0,1786.0
52,182.0,14%,53.0,0.087,1.776,0.0005,0.19,1166.0,0.0,1.14,1773.0,0.6,1910.0,2753.0,1768.0
53,182.0,5%,54.0,0.086,1.776,5e-05,0.19,1188.0,0.0,1.14,1807.0,0.6,1945.0,2753.0,1771.0
