,Step,Value,Wall time
0,1000,4.617363929748535,1540758827.5301878
1,2000,2.6627840995788574,1540759100.0522738
2,3000,1.2795528173446655,1540759371.7733839
3,4000,1.0648200511932373,1540759644.460916
4,5000,1.033111572265625,1540759921.427017
5,6000,1.0213258266448975,1540760199.5479155
6,7000,1.0103918313980103,1540760473.2193584
7,8000,1.0165815353393555,1540760751.6019425
8,9000,1.0070728063583374,1540761024.490817
9,10000,1.0052497386932373,1540761298.5134282
10,11000,1.008797287940979,1540761575.583852
11,12000,1.003458857536316,1540761844.9559386
12,13000,1.0028424263000488,1540762122.9154592
13,14000,1.0016310214996338,1540762398.1954079
14,15000,1.0021212100982666,1540762672.671423
15,16000,1.0014370679855347,1540762949.7876632
16,17000,1.0020307302474976,1540763224.0125353
17,18000,1.001967430114746,1540763502.566175
18,19000,1.0027955770492554,1540763779.1958768
19,20000,1.0017576217651367,1540764053.832999
20,21000,1.0011539459228516,1540764366.105096
21,22000,1.00100839138031,1540764642.3791232
22,23000,1.0012167692184448,1540764917.8064332
23,24000,1.0011415481567383,1540765190.6998546
24,25000,1.0009984970092773,1540765468.3388124
25,26000,1.001294493675232,1540765811.2831004
26,27000,1.001679539680481,1540766087.5241482
27,28000,1.000706434249878,1540766360.029265
28,29000,1.0033913850784302,1540766633.6073956
29,30000,1.0018380880355835,1540766912.955083
30,31000,1.0012798309326172,1540767190.222491
31,32000,1.0010145902633667,1540767469.1488807
32,33000,1.0009459257125854,1540767746.2862558
33,34000,1.0017657279968262,1540768016.895636
34,35000,1.0009523630142212,1540768367.129528
35,36000,1.001570463180542,1540768645.7437468
36,37000,1.000677466392517,1540768939.4957688
37,38000,1.0008913278579712,1540769228.610637
38,39000,1.0007375478744507,1540769514.1432853
39,40000,1.0005754232406616,1540769790.4591353
40,41000,1.0006186962127686,1540770071.4305794
41,42000,1.0024265050888062,1540770353.7380395
42,43000,1.0004792213439941,1540770630.8462796
43,44000,1.0006228685379028,1540770911.7163546
44,45000,1.0004080533981323,1540771188.9101834
45,46000,1.0006296634674072,1540771473.3335578
46,47000,1.0006476640701294,1540771753.5041506
47,48000,1.0004029273986816,1540772034.8073308
48,49000,1.0006170272827148,1540772319.6723123
49,50000,1.0007750988006592,1540772598.5594049
