,Step,Value,Wall time
0,1000,139.40768432617188,1542658561.7477067
1,2000,92.92809295654297,1542660373.104279
2,3000,59.0245246887207,1542662097.7209754
3,4000,3.9805047512054443,1542663906.072643
4,5000,2.0491573810577393,1542665562.838316
5,6000,1.1582952737808228,1542667238.4405918
6,7000,1.0253247022628784,1542668902.3548436
7,8000,1.0070635080337524,1542670575.5015748
8,9000,1.0042401552200317,1542672241.6602225
9,10000,1.0016944408416748,1542673910.3222663
10,11000,1.0012816190719604,1542675586.2955935
11,12000,1.0011283159255981,1542677243.775885
12,13000,1.0008796453475952,1542678915.3061965
13,14000,1.0007460117340088,1542680576.773982
14,15000,1.0006240606307983,1542682257.6293094
15,16000,1.0005568265914917,1542683948.5027137
16,17000,1.0005066394805908,1542685617.6378772
17,18000,1.0004593133926392,1542687288.784782
18,19000,1.0004392862319946,1542688949.77759
19,20000,1.0004514455795288,1542690618.1632395
20,21000,1.0003989934921265,1542692291.8126068
21,22000,1.0003705024719238,1542693959.6254034
22,23000,1.0003801584243774,1542695621.5740037
23,24000,1.0003833770751953,1542697282.365515
24,25000,1.0003787279129028,1542698953.5342805
25,26000,1.0003889799118042,1542700627.55899
26,27000,1.00038480758667,1542702295.9432027
27,28000,1.000396966934204,1542703958.5190706
28,29000,1.0003762245178223,1542705619.6146572
29,30000,1.000392198562622,1542707292.420403
