,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,224.0,0%,1.0,10.377,10.861,4.22418e-06,10.801,33.0,0.0,1783.93,18.0,1.6,20.0,3008.0,5164.0
1,224.0,0%,2.0,6.81,8.541,8.34835e-06,8.2,66.0,0.0,294.02,36.0,1.6,41.0,3008.0,5151.0
2,224.0,0%,3.0,4.861,7.422,1.24725e-05,6.926,99.0,0.0,121.56,53.0,1.6,62.0,3008.0,5111.0
3,224.0,0%,4.0,4.37,6.891,1.65967e-05,6.306,132.0,0.0,79.13,71.0,1.6,83.0,3008.0,5100.0
4,224.0,0%,5.0,4.584,6.324,2.07209e-05,5.665,165.0,0.0,50.74,89.0,1.6,104.0,3008.0,5156.0
5,224.0,0%,6.0,4.939,5.558,2.48451e-05,4.79,198.0,0.0,27.67,107.0,1.6,125.0,3008.0,5201.0
6,224.0,0%,7.0,4.004,4.858,2.89692e-05,3.976,231.0,0.0,15.73,124.0,1.6,146.0,3008.0,5165.0
7,224.0,0%,8.0,4.294,4.342,3.30934e-05,3.372,264.0,0.0,10.36,142.0,1.6,167.0,3008.0,5149.0
8,224.0,0%,9.0,3.622,3.877,3.72176e-05,2.827,297.0,0.0,7.09,160.0,1.6,188.0,3008.0,5120.0
9,224.0,0%,10.0,3.356,3.529,4.13418e-05,2.408,330.0,0.0,5.31,178.0,1.6,209.0,3008.0,5161.0
10,224.0,0%,11.0,3.799,3.286,4.54659e-05,2.112,363.0,0.0,4.32,195.0,1.6,230.0,3008.0,5152.0
11,224.0,0%,12.0,3.045,3.048,4.95901e-05,1.819,396.0,0.0,3.53,213.0,1.6,251.0,3008.0,5198.0
12,224.0,0%,13.0,2.556,2.896,5.37143e-05,1.634,429.0,0.0,3.1,231.0,1.6,272.0,3008.0,5104.0
13,224.0,0%,14.0,2.163,2.789,5.78385e-05,1.504,462.0,0.0,2.84,249.0,1.6,293.0,3008.0,5121.0
14,224.0,0%,15.0,2.203,2.727,6.19626e-05,1.427,495.0,0.0,2.69,266.0,1.6,314.0,3008.0,5180.0
15,224.0,0%,16.0,2.228,2.677,6.60868e-05,1.365,528.0,0.0,2.58,284.0,1.6,335.0,3008.0,5175.0
16,224.0,0%,17.0,1.922,2.617,7.0211e-05,1.295,561.0,0.0,2.45,302.0,1.6,356.0,3008.0,5163.0
17,224.0,0%,18.0,2.057,2.607,7.43352e-05,1.283,594.0,0.0,2.43,320.0,1.6,377.0,3008.0,5160.0
18,224.0,0%,19.0,1.93,2.573,7.84593e-05,1.242,627.0,0.0,2.37,338.0,1.6,398.0,3008.0,5147.0
19,224.0,0%,20.0,1.641,2.541,8.25835e-05,1.201,660.0,0.0,2.3,355.0,1.6,419.0,3008.0,5149.0
20,224.0,0%,21.0,1.621,2.517,8.67077e-05,1.178,693.0,0.0,2.26,373.0,1.6,440.0,3008.0,5169.0
21,224.0,0%,22.0,1.309,2.469,9.08319e-05,1.127,726.0,0.0,2.18,391.0,1.6,461.0,3008.0,5228.0
22,224.0,0%,23.0,1.249,2.448,9.4956e-05,1.107,759.0,0.0,2.15,409.0,1.6,482.0,3008.0,5096.0
23,224.0,0%,24.0,1.027,2.425,9.90802e-05,1.075,792.0,0.0,2.11,426.0,1.6,503.0,3008.0,5155.0
24,224.0,0%,25.0,0.92,2.404,0.000103204,1.061,825.0,0.0,2.09,444.0,1.6,524.0,3008.0,5161.0
25,224.0,0%,26.0,0.767,2.382,0.000107329,1.042,858.0,0.0,2.06,462.0,1.6,545.0,3008.0,5151.0
26,224.0,0%,27.0,0.658,2.36,0.000111453,1.018,891.0,0.0,2.03,480.0,1.6,566.0,3008.0,5103.0
27,224.0,0%,28.0,1.016,2.373,0.000115577,1.038,924.0,0.0,2.05,497.0,1.6,587.0,3008.0,5126.0
28,224.0,0%,29.0,1.383,2.414,0.000119701,1.076,957.0,0.0,2.11,515.0,1.6,608.0,3008.0,5107.0
29,224.0,0%,30.0,1.528,2.47,0.000123825,1.135,990.0,0.0,2.2,533.0,1.6,629.0,3008.0,5144.0
30,224.0,0%,31.0,0.59,2.334,0.000127949,0.989,1023.0,0.0,1.98,551.0,1.6,650.0,3008.0,5164.0
31,224.0,0%,32.0,0.623,2.313,0.000132074,0.966,1056.0,0.0,1.95,569.0,1.6,670.0,3008.0,5193.0
32,224.0,0%,33.0,0.572,2.273,0.000136198,0.929,1089.0,0.0,1.9,586.0,1.6,691.0,3008.0,5170.0
33,224.0,0%,34.0,0.749,2.258,0.000140322,0.914,1122.0,0.0,1.88,604.0,1.6,712.0,3008.0,5121.0
34,224.0,0%,35.0,1.031,2.268,0.000144446,0.922,1155.0,0.0,1.9,622.0,1.6,733.0,3008.0,5162.0
35,224.0,0%,36.0,0.861,2.237,0.00014857,0.878,1188.0,0.0,1.84,640.0,1.6,754.0,3008.0,5107.0
36,224.0,0%,37.0,1.164,2.254,0.000152694,0.902,1221.0,0.0,1.87,657.0,1.6,775.0,3008.0,5161.0
37,224.0,0%,38.0,0.846,2.192,0.000156819,0.826,1254.0,0.0,1.77,675.0,1.6,796.0,3008.0,5173.0
38,224.0,0%,39.0,0.669,2.118,0.000160943,0.751,1287.0,0.0,1.68,693.0,1.6,817.0,3008.0,5208.0
