,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,389.0,100%,1.0,3.971,8.753,0.5,8.302,19.0,0.0,315.57,8.0,1.7,11.0,5224.0,10125.0
1,389.0,100%,2.0,1.914,6.139,0.5,5.345,38.0,0.0,40.65,17.0,1.3,25.0,5224.0,10287.0
2,389.0,100%,3.0,2.295,5.421,0.5,4.499,57.0,0.0,22.61,25.0,1.4,39.0,5224.0,10326.0
3,389.0,100%,4.0,1.924,4.714,0.5,3.646,76.0,0.0,12.52,34.0,1.4,53.0,5224.0,10339.0
4,389.0,100%,5.0,1.914,4.222,0.5,3.086,95.0,0.0,8.49,42.0,1.4,66.0,5224.0,10242.0
5,389.0,100%,6.0,1.385,3.592,0.5,2.336,114.0,0.0,5.05,51.0,1.4,80.0,5224.0,10548.0
6,389.0,100%,7.0,1.153,3.172,0.5,1.834,133.0,0.0,3.56,59.0,1.4,94.0,5224.0,10284.0
7,389.0,100%,8.0,0.956,2.925,0.5,1.567,152.0,0.0,2.96,68.0,1.4,108.0,5224.0,10531.0
8,389.0,100%,9.0,0.812,2.732,0.5,1.366,171.0,0.0,2.58,76.0,1.4,121.0,5224.0,10527.0
9,389.0,100%,10.0,0.527,2.59,0.5,1.218,190.0,0.0,2.33,84.0,1.4,135.0,5224.0,10107.0
10,389.0,100%,11.0,0.5,2.495,0.5,1.117,209.0,0.0,2.17,93.0,1.4,149.0,5224.0,10415.0
11,389.0,100%,12.0,0.494,2.449,0.5,1.058,228.0,0.0,2.08,101.0,1.4,162.0,5224.0,10435.0
12,389.0,100%,13.0,0.446,2.386,0.5,0.993,247.0,0.0,1.99,110.0,1.4,176.0,5224.0,10300.0
13,389.0,100%,14.0,0.355,2.286,0.5,0.89,266.0,0.0,1.85,118.0,1.4,190.0,5224.0,10121.0
14,389.0,100%,15.0,0.34,2.22,0.5,0.813,285.0,0.0,1.76,127.0,1.4,204.0,5224.0,10530.0
15,389.0,100%,16.0,0.362,2.147,0.5,0.742,304.0,0.0,1.67,135.0,1.4,217.0,5224.0,10492.0
16,389.0,100%,17.0,0.383,2.087,0.5,0.648,323.0,0.0,1.57,144.0,1.4,231.0,5224.0,10530.0
17,389.0,100%,18.0,0.38,2.021,0.5,0.592,342.0,0.0,1.51,152.0,1.4,245.0,5224.0,10436.0
18,389.0,100%,19.0,0.29,1.948,0.5,0.508,361.0,0.0,1.42,160.0,1.4,258.0,5224.0,10287.0
19,389.0,100%,20.0,0.283,1.9,0.5,0.457,380.0,0.0,1.37,169.0,1.4,272.0,5224.0,10280.0
20,389.0,100%,21.0,0.245,1.859,0.5,0.428,399.0,0.0,1.35,177.0,1.4,286.0,5224.0,10277.0
21,389.0,100%,22.0,0.203,1.815,0.5,0.385,418.0,0.0,1.31,186.0,1.4,300.0,5224.0,10342.0
22,389.0,100%,23.0,0.206,1.788,0.5,0.358,437.0,0.0,1.28,194.0,1.4,313.0,5224.0,10192.0
23,389.0,100%,24.0,0.256,1.772,0.5,0.337,456.0,0.0,1.26,203.0,1.4,327.0,5224.0,10586.0
24,389.0,95%,25.0,0.207,1.747,0.5,0.316,475.0,0.0,1.25,211.0,1.4,341.0,5224.0,10243.0
25,389.0,89%,26.0,0.181,1.713,0.5,0.274,494.0,0.0,1.21,220.0,1.4,354.0,5224.0,10297.0
26,389.0,100%,27.0,0.157,1.693,0.5,0.263,513.0,0.0,1.2,228.0,1.4,368.0,5224.0,10100.0
27,389.0,89%,28.0,0.16,1.673,0.5,0.235,532.0,0.0,1.18,237.0,1.4,382.0,5224.0,10278.0
28,389.0,58%,29.0,0.113,1.651,0.5,0.222,551.0,0.0,1.17,245.0,1.4,396.0,5224.0,10594.0
29,389.0,68%,30.0,0.125,1.64,0.5,0.212,570.0,0.0,1.16,253.0,1.4,409.0,5224.0,10310.0
30,389.0,58%,31.0,0.108,1.624,0.5,0.197,589.0,0.0,1.15,262.0,1.4,423.0,5224.0,10351.0
31,389.0,47%,32.0,0.113,1.616,0.5,0.192,608.0,0.0,1.14,270.0,1.4,437.0,5224.0,10325.0
32,389.0,42%,33.0,0.104,1.611,0.5,0.182,627.0,0.0,1.13,279.0,1.4,450.0,5224.0,10316.0
33,389.0,37%,34.0,0.092,1.603,0.5,0.182,646.0,0.0,1.13,287.0,1.4,464.0,5224.0,10402.0
