,Step,Value,Wall time
0,1000,16.970680236816406,1542702714.5466719
1,2000,14.2598295211792,1542704394.5820532
2,3000,11.502799987792969,1542706073.7449298
3,4000,6.873847007751465,1542707754.7070425
4,5000,1.600103497505188,1542709443.4482262
5,6000,1.1453068256378174,1542711135.1346872
6,7000,1.0801494121551514,1542712831.4730465
7,8000,1.0505396127700806,1542714517.0860069
8,9000,1.0464046001434326,1542716204.1987016
9,10000,1.0447441339492798,1542717883.3829906
10,11000,1.0392160415649414,1542719574.5847886
11,12000,1.0273864269256592,1542721253.1371956
12,13000,1.0192646980285645,1542722934.6770208
13,14000,1.0115653276443481,1542724611.5788002
14,15000,1.007147192955017,1542726291.4568613
15,16000,1.0039077997207642,1542727973.6445012
16,17000,1.0019874572753906,1542729653.663274
17,18000,1.0017839670181274,1542731330.731577
18,19000,1.001657247543335,1542733012.22671
19,20000,1.0016403198242188,1542734691.746991
20,21000,1.0016010999679565,1542736377.2212408
21,22000,1.001466989517212,1542738054.997997
22,23000,1.0014744997024536,1542739729.1332633
23,24000,1.0014759302139282,1542741408.892348
24,25000,1.001477599143982,1542743087.3765028
25,26000,1.0015044212341309,1542744773.5661488
26,27000,1.0013611316680908,1542746450.4788625
27,28000,1.0015326738357544,1542748149.552535
28,29000,1.0014927387237549,1542749827.469297
29,30000,1.0013452768325806,1542751505.6564367
