,Step,Value,Wall time
20,1000,73.86779022216797,1542807096.1943667
21,2000,8.283021926879883,1542809522.0676947
22,3000,5.4463725090026855,1542811942.0226424
23,4000,3.732060670852661,1542814361.1080313
24,5000,3.3667147159576416,1542816776.6525645
25,6000,3.1482603549957275,1542823116.7975142
26,7000,2.980231285095215,1542825540.3260782
27,8000,2.854635238647461,1542827963.5340104
28,9000,2.768040418624878,1542830394.8582864
29,10000,2.6466176509857178,1542832813.1698523
9,11000,2.516446113586426,1542837828.575351
10,12000,2.433175802230835,1542840186.9120274
11,13000,2.386565685272217,1542842536.0892632
12,14000,2.3426432609558105,1542844907.1700785
13,15000,2.3203928470611572,1542847265.0557745
14,16000,2.1628963947296143,1542853398.317938
15,17000,2.0694503784179688,1542855747.0625746
16,18000,2.0165178775787354,1542858099.3247778
17,19000,1.932155966758728,1542860452.7315722
0,20000,1.8017722368240356,1542877239.9018662
1,21000,1.8204514980316162,1542879652.6942854
2,22000,1.8566033840179443,1542882073.346813
3,23000,1.8626371622085571,1542884489.0052304
4,24000,1.8888088464736938,1542886901.7610164
5,25000,1.7055875062942505,1542893270.7326756
6,26000,1.7293767929077148,1542895690.2703698
7,27000,1.757750391960144,1542898115.4195197
8,28000,1.7989764213562012,1542900555.6359649
18,29000,1.7187923192977905,1543009928.1538224
19,30000,1.7393677234649658,1543012040.2612507
