,Step,Value,Wall time
0,1000,4.429397106170654,1540758779.6989553
1,2000,3.0805814266204834,1540758982.8656833
2,3000,2.179318428039551,1540759199.8870559
3,4000,1.6381094455718994,1540759406.2295344
4,5000,1.3372539281845093,1540759621.3946784
5,6000,1.177148461341858,1540759831.8150527
6,7000,1.0866835117340088,1540760043.6085699
7,8000,1.0456275939941406,1540760255.5605266
8,9000,1.0298285484313965,1540760462.9344697
9,10000,1.0194718837738037,1540760671.6180828
10,11000,1.0157084465026855,1540760886.1710658
11,12000,1.0116313695907593,1540761098.4409304
12,13000,1.0088284015655518,1540761313.8316412
13,14000,1.008139729499817,1540761519.8624058
14,15000,1.0072652101516724,1540761729.270219
15,16000,1.0072990655899048,1540761939.502625
16,17000,1.005433440208435,1540762147.0107863
17,18000,1.0059895515441895,1540762357.010167
18,19000,1.0043655633926392,1540762563.6131508
19,20000,1.0039308071136475,1540762772.7095356
20,21000,1.0037734508514404,1540762995.1265373
21,22000,1.004296064376831,1540763204.2725093
22,23000,1.0035876035690308,1540763409.9139163
23,24000,1.0038090944290161,1540763618.1524804
24,25000,1.0029250383377075,1540763840.3224757
25,26000,1.0033807754516602,1540764052.400571
26,27000,1.0029387474060059,1540764351.2229133
27,28000,1.002358078956604,1540764557.894068
28,29000,1.0023624897003174,1540764764.9124281
29,30000,1.0020650625228882,1540764976.582026
30,31000,1.0024046897888184,1540765185.3853726
31,32000,1.001968264579773,1540765398.882514
32,33000,1.001965880393982,1540765616.0431786
33,34000,1.0019688606262207,1540765828.0694144
34,35000,1.0018125772476196,1540766040.5514174
35,36000,1.001686930656433,1540766253.0443203
36,37000,1.001984715461731,1540766465.2361608
37,38000,1.0016359090805054,1540766676.1020608
38,39000,1.0017300844192505,1540766888.5061042
39,40000,1.001555323600769,1540767101.9365563
40,41000,1.0016343593597412,1540767315.2227466
41,42000,1.001708745956421,1540767528.1986928
42,43000,1.0013809204101562,1540767739.6164517
43,44000,1.0014451742172241,1540767956.638923
44,45000,1.0030734539031982,1540768181.5222948
45,46000,1.0015226602554321,1540768403.0648692
46,47000,1.0018367767333984,1540768620.8824046
47,48000,1.0014593601226807,1540768832.8095393
48,49000,1.001534342765808,1540769058.1420984
49,50000,1.0012670755386353,1540769298.941029
