,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,182.0,0%,1.0,10.833,12.312,2.84945e-06,12.255,22.0,0.0,4886.57,13.0,1.4,15.0,2753.0,4308.0
1,182.0,0%,2.0,8.190,10.619,5.5989e-06,10.370,44.0,0.0,1323.17,26.0,1.5,30.0,2753.0,4347.0
2,182.0,0%,3.0,4.904,9.054,8.34835e-06,8.611,66.0,0.0,391.02,39.0,1.5,45.0,2753.0,4349.0
3,182.0,0%,4.0,3.695,8.221,1.10978e-05,7.669,88.0,0.0,203.49,52.0,1.5,59.0,2753.0,4345.0
4,182.0,0%,5.0,2.961,7.705,1.38473e-05,7.077,110.0,0.0,135.05,66.0,1.5,74.0,2753.0,4352.0
5,182.0,0%,6.0,2.798,7.127,1.65967e-05,6.421,132.0,0.0,85.66,79.0,1.5,88.0,2753.0,4392.0
6,182.0,0%,7.0,3.085,6.502,1.93462e-05,5.703,154.0,0.0,52.08,92.0,1.5,103.0,2753.0,4323.0
7,182.0,0%,8.0,2.742,5.905,2.20956e-05,5.007,176.0,0.0,32.15,105.0,1.5,117.0,2753.0,4330.0
8,182.0,0%,9.0,2.929,5.519,2.48451e-05,4.544,198.0,0.0,23.33,118.0,1.5,132.0,2753.0,4311.0
9,182.0,0%,10.0,2.516,5.283,2.75945e-05,4.259,220.0,0.0,19.15,131.0,1.5,146.0,2753.0,4405.0
10,182.0,0%,11.0,2.969,5.133,3.0344e-05,4.075,242.0,0.0,16.85,144.0,1.5,161.0,2753.0,4364.0
11,182.0,0%,12.0,2.732,5.006,3.30934e-05,3.918,264.0,0.0,15.12,157.0,1.5,176.0,2753.0,4343.0
12,182.0,0%,13.0,2.663,4.890,3.58429e-05,3.782,286.0,0.0,13.76,170.0,1.5,190.0,2753.0,4385.0
13,182.0,0%,14.0,2.551,4.792,3.85923e-05,3.667,308.0,0.0,12.70,183.0,1.5,205.0,2753.0,4313.0
14,182.0,0%,15.0,2.233,4.697,4.13418e-05,3.555,330.0,0.0,11.75,196.0,1.5,219.0,2753.0,4318.0
15,182.0,0%,16.0,2.449,4.617,4.40912e-05,3.460,352.0,0.0,11.00,209.0,1.5,234.0,2753.0,4398.0
16,182.0,0%,17.0,2.308,4.536,4.68407e-05,3.369,374.0,0.0,10.34,223.0,1.5,248.0,2753.0,4395.0
17,182.0,0%,18.0,2.242,4.455,4.95901e-05,3.272,396.0,0.0,9.66,236.0,1.5,263.0,2753.0,4357.0
18,182.0,0%,19.0,2.571,4.390,5.23396e-05,3.192,418.0,0.0,9.14,249.0,1.5,278.0,2753.0,4370.0
19,182.0,0%,20.0,2.264,4.316,5.5089e-05,3.102,440.0,0.0,8.58,262.0,1.5,292.0,2753.0,4348.0
20,182.0,0%,21.0,1.756,4.235,5.78385e-05,3.006,462.0,0.0,8.04,275.0,1.5,307.0,2753.0,4405.0
21,182.0,0%,22.0,2.297,4.197,6.05879e-05,2.960,484.0,0.0,7.78,288.0,1.5,321.0,2753.0,4314.0
22,182.0,0%,23.0,1.593,4.120,6.33374e-05,2.867,506.0,0.0,7.30,301.0,1.5,336.0,2753.0,4344.0
23,182.0,0%,24.0,1.494,4.073,6.60868e-05,2.812,528.0,0.0,7.02,314.0,1.5,350.0,2753.0,4399.0
24,182.0,0%,25.0,1.586,4.029,6.88363e-05,2.761,550.0,0.0,6.78,327.0,1.5,365.0,2753.0,4315.0
25,182.0,0%,26.0,1.678,3.994,7.15857e-05,2.722,572.0,0.0,6.60,340.0,1.5,380.0,2753.0,4350.0
26,182.0,0%,27.0,1.331,3.932,7.43352e-05,2.652,594.0,0.0,6.29,353.0,1.5,394.0,2753.0,4342.0
27,182.0,0%,28.0,1.378,3.897,7.70846e-05,2.613,616.0,0.0,6.12,366.0,1.5,409.0,2753.0,4356.0
28,182.0,0%,29.0,1.478,3.861,7.98341e-05,2.570,638.0,0.0,5.94,380.0,1.5,423.0,2753.0,4311.0
29,182.0,0%,30.0,1.353,3.821,8.25835e-05,2.526,660.0,0.0,5.76,393.0,1.5,438.0,2753.0,4317.0
30,182.0,0%,31.0,1.118,3.777,8.5333e-05,2.475,682.0,0.0,5.56,406.0,1.5,452.0,2753.0,4311.0
31,182.0,0%,32.0,1.302,3.752,8.80824e-05,2.446,704.0,0.0,5.45,419.0,1.5,467.0,2753.0,4368.0
