,bsz,clip,epoch,gnorm,loss,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,422.0,100%,1.0,3.639,8.283,0.5,7.757,28.0,0.0,216.32,13.0,1.8,16.0,5733.0,11104.0
1,422.0,100%,2.0,2.011,5.891,0.5,5.009,56.0,0.0,32.2,25.0,1.7,32.0,5733.0,11045.0
2,422.0,100%,3.0,2.165,4.932,0.5,3.875,84.0,0.0,14.67,38.0,1.7,49.0,5733.0,11179.0
3,422.0,100%,4.0,1.719,4.115,0.5,2.912,112.0,0.0,7.53,51.0,1.7,65.0,5733.0,11212.0
4,422.0,100%,5.0,1.769,3.598,0.5,2.248,140.0,0.0,4.75,63.0,1.7,82.0,5733.0,11062.0
5,422.0,100%,6.0,1.008,3.043,0.5,1.657,168.0,0.0,3.15,76.0,1.7,98.0,5733.0,11257.0
6,422.0,100%,7.0,0.736,2.726,0.5,1.329,196.0,0.0,2.51,89.0,1.7,114.0,5733.0,11095.0
7,422.0,100%,8.0,0.607,2.601,0.5,1.198,224.0,0.0,2.29,101.0,1.7,131.0,5733.0,11250.0
8,422.0,100%,9.0,0.57,2.506,0.5,1.104,252.0,0.0,2.15,114.0,1.7,147.0,5733.0,11108.0
9,422.0,100%,10.0,0.541,2.407,0.5,0.985,280.0,0.0,1.98,127.0,1.7,163.0,5733.0,11077.0
10,422.0,100%,11.0,0.476,2.302,0.5,0.881,308.0,0.0,1.84,140.0,1.7,180.0,5733.0,11105.0
11,422.0,100%,12.0,0.405,2.199,0.5,0.757,336.0,0.0,1.69,152.0,1.7,196.0,5733.0,11099.0
12,422.0,100%,13.0,0.338,2.085,0.5,0.642,364.0,0.0,1.56,165.0,1.7,213.0,5733.0,11237.0
13,422.0,100%,14.0,0.362,2.016,0.5,0.542,392.0,0.0,1.46,178.0,1.7,229.0,5733.0,11162.0
14,422.0,100%,15.0,0.348,1.959,0.5,0.501,420.0,0.0,1.41,190.0,1.7,246.0,5733.0,11047.0
15,422.0,100%,16.0,0.321,1.929,0.5,0.459,448.0,0.0,1.37,203.0,1.7,262.0,5733.0,11085.0
16,422.0,100%,17.0,0.363,1.906,0.5,0.432,476.0,0.0,1.35,216.0,1.7,278.0,5733.0,11086.0
17,422.0,96%,18.0,0.237,1.839,0.5,0.387,504.0,0.0,1.31,228.0,1.7,295.0,5733.0,11085.0
18,422.0,96%,19.0,0.238,1.809,0.5,0.347,532.0,0.0,1.27,241.0,1.7,311.0,5733.0,10935.0
19,422.0,100%,20.0,0.237,1.791,0.5,0.328,560.0,0.0,1.26,254.0,1.7,328.0,5733.0,11060.0
20,422.0,86%,21.0,0.2,1.765,0.5,0.31,588.0,0.0,1.24,267.0,1.7,344.0,5733.0,11044.0
21,422.0,89%,22.0,0.219,1.758,0.5,0.284,616.0,0.0,1.22,279.0,1.7,360.0,5733.0,10986.0
22,422.0,86%,23.0,0.249,1.74,0.5,0.285,644.0,0.0,1.22,292.0,1.7,377.0,5733.0,11044.0
23,422.0,89%,24.0,0.193,1.719,0.5,0.264,672.0,0.0,1.2,305.0,1.7,393.0,5733.0,11220.0
24,422.0,75%,25.0,0.149,1.689,0.5,0.233,700.0,0.0,1.18,317.0,1.7,410.0,5733.0,11041.0
25,422.0,68%,26.0,0.129,1.675,0.5,0.22,728.0,0.0,1.16,330.0,1.7,426.0,5733.0,11075.0
26,422.0,71%,27.0,0.129,1.667,0.5,0.215,756.0,0.0,1.16,343.0,1.7,443.0,5733.0,10954.0
27,422.0,54%,28.0,0.115,1.652,0.5,0.203,784.0,0.0,1.15,356.0,1.7,459.0,5733.0,10972.0
28,422.0,68%,29.0,0.125,1.65,0.5,0.195,812.0,0.0,1.14,368.0,1.7,475.0,5733.0,11076.0
29,422.0,46%,30.0,0.106,1.635,0.5,0.188,840.0,0.0,1.14,381.0,1.7,492.0,5733.0,10985.0
30,422.0,25%,31.0,0.093,1.624,0.5,0.18,868.0,0.0,1.13,393.0,1.7,508.0,5733.0,11094.0
31,422.0,32%,32.0,0.086,1.621,0.5,0.18,896.0,0.0,1.13,406.0,1.7,524.0,5733.0,11058.0
32,422.0,29%,33.0,0.083,1.618,0.5,0.179,924.0,0.0,1.13,419.0,1.7,541.0,5733.0,11072.0
33,422.0,18%,34.0,0.082,1.615,0.5,0.178,952.0,0.0,1.13,431.0,1.7,557.0,5733.0,11279.0
