,Step,Value,Wall time
0,1000,1.7958086729049683,1542549623.153297
1,2000,1.1936893463134766,1542550027.9084256
2,3000,1.0827467441558838,1542550426.6246853
3,4000,1.0471692085266113,1542550826.9968557
4,5000,1.0208345651626587,1542551229.3533485
5,6000,1.008439302444458,1542551639.712951
6,7000,1.004416823387146,1542552053.432133
7,8000,1.004020094871521,1542552464.7942286
8,9000,1.0034202337265015,1542552877.5725963
9,10000,1.0032175779342651,1542553279.4777818
10,11000,1.002729892730713,1542553712.3868673
11,12000,1.0024628639221191,1542554113.4029663
12,13000,1.0028878450393677,1542554513.5683877
13,14000,1.0021936893463135,1542554914.5760818
14,15000,1.0023860931396484,1542555315.0913763
15,16000,1.0023192167282104,1542555727.0204062
16,17000,1.0022268295288086,1542556128.706303
17,18000,1.002443552017212,1542556540.040358
18,19000,1.0375703573226929,1542556940.4183903
19,20000,1.002726435661316,1542557311.5530083
20,21000,1.0023353099822998,1542557723.0258074
21,22000,1.0020098686218262,1542558123.952173
22,23000,1.0017852783203125,1542558535.6402473
23,24000,1.0018988847732544,1542558947.7344387
24,25000,1.0017898082733154,1542559360.0825908
25,26000,1.001804232597351,1542559794.957742
26,27000,1.0020911693572998,1542560208.298269
27,28000,1.0018279552459717,1542560619.692429
28,29000,1.0017356872558594,1542561019.9683592
29,30000,1.0016335248947144,1542561443.430567
30,31000,1.0015310049057007,1542561879.025538
31,32000,1.0020265579223633,1542562290.7845604
32,33000,1.0017693042755127,1542562702.760298
33,34000,1.0017999410629272,1542563091.9038348
34,35000,1.0015274286270142,1542563481.2825828
35,36000,1.0016326904296875,1542563893.2127235
36,37000,1.0016827583312988,1542564282.4670625
37,38000,1.0014612674713135,1542564671.7100778
38,39000,1.0016112327575684,1542565060.9727745
39,40000,1.0015573501586914,1542565431.346707
40,41000,1.0016285181045532,1542565866.6410015
41,42000,1.0015296936035156,1542566278.673952
42,43000,1.0016834735870361,1542566679.417675
43,44000,1.0015355348587036,1542567093.146042
44,45000,1.0017169713974,1542567492.474615
45,46000,1.0016555786132812,1542567926.5433202
46,47000,1.0015796422958374,1542568339.2607062
47,48000,1.0015268325805664,1542568739.8872015
48,49000,1.0015202760696411,1542569140.1136851
49,50000,1.001548171043396,1542569541.5515506
