,Step,Value,Wall time
3,1000,43.57353210449219,1542703583.8984087
4,2000,38.847957611083984,1542706903.0935087
5,3000,41.581207275390625,1542710234.151188
6,4000,29.20092010498047,1542712979.1768117
7,5000,19.075101852416992,1542716274.8399837
8,6000,19.77273178100586,1542719655.400572
9,7000,5.450540065765381,1542722930.1965477
10,8000,1.4864720106124878,1542726218.4324555
11,9000,1.181465983390808,1542729451.2745142
12,10000,1.1372392177581787,1542732669.1431885
13,11000,1.081194281578064,1542735991.4056432
14,12000,1.0518207550048828,1542739214.500077
15,13000,1.0407311916351318,1542742437.2607234
16,14000,1.0485732555389404,1542745655.5164137
17,15000,1.026738166809082,1542748875.9657764
18,16000,1.0162148475646973,1542752187.8053436
19,17000,1.0060772895812988,1542755403.4295466
20,18000,1.0033106803894043,1542758619.1202958
21,19000,1.0020670890808105,1542761833.039596
22,20000,1.0017638206481934,1542764950.3902762
23,21000,1.0017300844192505,1542768264.9268868
24,22000,1.0016889572143555,1542771474.5240374
25,23000,1.0015738010406494,1542774713.657339
26,24000,1.0015534162521362,1542777928.924203
27,25000,1.001577615737915,1542781170.915206
28,26000,1.0015698671340942,1542784504.6564121
29,27000,1.0016587972640991,1542787717.1411436
0,28000,1.0015881061553955,1542792614.2065258
1,29000,1.001514196395874,1542795811.3048697
2,30000,1.0015872716903687,1542799009.5758274
