,Step,Value,Wall time
0,1000,1.9009774923324585,1541422199.5630338
1,2000,1.7106271982192993,1541422331.8292854
2,3000,1.424776554107666,1541422462.2041101
3,4000,1.2373560667037964,1541422594.467213
4,5000,1.1397125720977783,1541422725.044568
5,6000,1.104488492012024,1541422858.643071
6,7000,1.062320590019226,1541422988.9454658
7,8000,1.0437644720077515,1541423121.3075721
8,9000,1.0388489961624146,1541423251.5653532
9,10000,1.0312250852584839,1541423383.6091855
10,11000,1.0304045677185059,1541423517.1360366
11,12000,1.0231971740722656,1541423647.2860515
12,13000,1.0212187767028809,1541423779.4397454
13,14000,1.0105714797973633,1541423909.4138262
14,15000,1.0090326070785522,1541424041.694125
15,16000,1.006110668182373,1541424173.2168262
16,17000,1.004493236541748,1541424305.1430604
17,18000,1.0065768957138062,1541424435.211038
18,19000,1.0056517124176025,1541424567.1573775
19,20000,1.0035258531570435,1541424697.307117
20,21000,1.0041935443878174,1541424830.6975071
21,22000,1.002563238143921,1541424962.6668913
22,23000,1.0033750534057617,1541425092.757316
23,24000,1.002384066581726,1541425224.905784
24,25000,1.002168893814087,1541425355.0086195
25,26000,1.0020815134048462,1541425488.3944688
26,27000,1.0021858215332031,1541425618.711975
27,28000,1.0020686388015747,1541425750.7967107
28,29000,1.0026298761367798,1541425880.9997065
29,30000,1.0037487745285034,1541426013.2510734
30,31000,1.001739740371704,1541426144.8857532
31,32000,1.0018718242645264,1541426277.1346662
32,33000,1.0018385648727417,1541426409.1666257
33,34000,1.0017625093460083,1541426539.382558
34,35000,1.0016850233078003,1541426671.6235926
35,36000,1.00173020362854,1541426803.2932413
36,37000,1.0015696287155151,1541426935.7757928
37,38000,1.0027419328689575,1541427066.3893373
38,39000,1.0015666484832764,1541427198.7462401
39,40000,1.0016838312149048,1541427329.1376297
40,41000,1.001921534538269,1541427463.0657363
41,42000,1.0016354322433472,1541427593.7160444
42,43000,1.0017201900482178,1541427726.1624238
43,44000,1.0018038749694824,1541427858.640423
44,45000,1.0016199350357056,1541427989.2775803
45,46000,1.001710057258606,1541428123.2359698
46,47000,1.001430630683899,1541428253.7813807
47,48000,1.0018301010131836,1541428386.4090717
48,49000,1.0013998746871948,1541428516.8488088
49,50000,1.0016357898712158,1541428649.4583519
