,Step,Value,Wall time
0,1000,1.8292858600616455,1541422195.1172423
1,2000,1.1979789733886719,1541422322.462752
2,3000,1.147578477859497,1541422448.226162
3,4000,1.1020376682281494,1541422576.2633693
4,5000,1.0715622901916504,1541422702.4489374
5,6000,1.0486054420471191,1541422831.5921223
6,7000,1.0246944427490234,1541422957.2467282
7,8000,1.01200532913208,1541423084.6605878
8,9000,1.0080560445785522,1541423210.330474
9,10000,1.0057786703109741,1541423338.0852237
10,11000,1.0041162967681885,1541423466.6291533
11,12000,1.0035756826400757,1541423592.2675712
12,13000,1.002950668334961,1541423719.658932
13,14000,1.0023610591888428,1541423845.235042
14,15000,1.0026150941848755,1541423972.6516178
15,16000,1.0020718574523926,1541424099.6397243
16,17000,1.0029006004333496,1541424227.1446533
17,18000,1.0027674436569214,1541424353.8253856
18,19000,1.0020267963409424,1541424481.677075
19,20000,1.0020171403884888,1541424607.644516
20,21000,1.0017048120498657,1541424736.5058136
21,22000,1.0019549131393433,1541424863.996667
22,23000,1.0017973184585571,1541424989.7594202
23,24000,1.001822829246521,1541425117.7444239
24,25000,1.001594066619873,1541425243.4310791
25,26000,1.0017263889312744,1541425372.3316116
26,27000,1.0016683340072632,1541425498.0308652
27,28000,1.001602053642273,1541425625.6939304
28,29000,1.0018031597137451,1541425751.642275
29,30000,1.001467227935791,1541425879.4098976
30,31000,1.0015779733657837,1541426006.688552
31,32000,1.0014808177947998,1541426134.3522847
32,33000,1.0023077726364136,1541426261.9246762
33,34000,1.00144624710083,1541426387.8380485
34,35000,1.0018315315246582,1541426515.5073009
35,36000,1.0018454790115356,1541426642.5314827
36,37000,1.0021432638168335,1541426770.2786744
37,38000,1.0014846324920654,1541426896.0863457
38,39000,1.0013678073883057,1541427023.7200072
39,40000,1.0014519691467285,1541427149.5105283
40,41000,1.0012142658233643,1541427278.606075
41,42000,1.0014069080352783,1541427404.5857227
42,43000,1.0014259815216064,1541427532.3398678
43,44000,1.0015194416046143,1541427660.0314348
44,45000,1.0014829635620117,1541427785.835833
45,46000,1.0015547275543213,1541427914.8960338
46,47000,1.0014454126358032,1541428040.7086515
47,48000,1.0014779567718506,1541428168.7193108
48,49000,1.0015020370483398,1541428294.5185833
49,50000,1.0013219118118286,1541428422.4469128
